TIMESTAMP X(Gauss) Y(Gauss) Z(Gauss)
804346112003040384 -0.3795 -0.1395 -0.396
804346112103040384 -0.3915 -0.1425 -0.3915
804346112203040384 -0.3915 -0.1395 -0.39450002
804346112303040384 -0.39000002 -0.135 -0.396
804346112403040384 -0.393 -0.141 -0.39450002
804346112503040384 -0.387 -0.144 -0.39450002
804346112603040384 -0.384 -0.1395 -0.393
804346112703040384 -0.3765 -0.135 -0.3975
804346112803040384 -0.381 -0.138 -0.3975
804346112903040384 -0.3855 -0.1395 -0.3975
804346113003040384 -0.3885 -0.1365 -0.39450002
804346113103040384 -0.3915 -0.1365 -0.3885
804346113203040384 -0.387 -0.138 -0.387
804346113303040384 -0.3795 -0.1425 -0.39000002
804346113403040384 -0.3675 -0.141 -0.402
804346113503040384 -0.375 -0.1395 -0.399
804346113603040384 -0.39450002 -0.147 -0.3915
804346113703040384 -0.3915 -0.1515 -0.393
804346113803040384 -0.3795 -0.1485 -0.393
804346113903040384 -0.381 -0.1395 -0.39000002
804346114003040384 -0.3705 -0.1335 -0.396
804346114103040384 -0.36900002 -0.138 -0.4005
804346114203040384 -0.387 -0.1395 -0.3915
804346114303040384 -0.387 -0.1395 -0.39450002
804346114403040384 -0.384 -0.141 -0.3975
804346114503040384 -0.387 -0.135 -0.3915
804346114603040384 -0.3795 -0.1335 -0.3975
804346114703040384 -0.3795 -0.1365 -0.399
804346114803040384 -0.375 -0.138 -0.399
804346114903040384 -0.3795 -0.1395 -0.3975
804346115003040384 -0.4005 -0.1425 -0.39000002
804346115103040384 -0.39000002 -0.141 -0.39450002
804346115203040384 -0.3885 -0.1365 -0.3975
804346115303040384 -0.3885 -0.141 -0.39450002
804346115403040384 -0.3825 -0.1365 -0.393
804346115503040384 -0.39450002 -0.1335 -0.396
804346115603040384 -0.393 -0.144 -0.3975
804346115703040384 -0.39000002 -0.1515 -0.3915
804346115803040384 -0.4005 -0.1485 -0.3855
804346115903040384 -0.4005 -0.132 -0.3855
804346116003040384 -0.399 -0.132 -0.3885
804346116103040384 -0.399 -0.1395 -0.393
804346116203040384 -0.399 -0.1455 -0.393
804346116303040384 -0.396 -0.1485 -0.393
804346116403040384 -0.399 -0.1455 -0.3915
804346116503040384 -0.4005 -0.144 -0.387
804346116603040384 -0.4005 -0.141 -0.393
804346116703040384 -0.4005 -0.1395 -0.396
804346116803040384 -0.39000002 -0.1245 -0.3915
804346116903040384 -0.393 -0.1245 -0.39000002
804346117003040384 -0.405 -0.144 -0.39000002
804346117103040384 -0.4005 -0.1455 -0.393
804346117203040384 -0.396 -0.1455 -0.3975
804346117303040384 -0.39450002 -0.144 -0.3915
804346117403040384 -0.3975 -0.141 -0.3855
804346117503040384 -0.402 -0.1455 -0.387
804346117603040384 -0.4005 -0.147 -0.39000002
804346117703040384 -0.396 -0.147 -0.3915
804346117803040384 -0.3975 -0.1455 -0.39000002
804346117903040384 -0.402 -0.141 -0.39000002
804346118003040384 -0.402 -0.141 -0.3915
804346118103040384 -0.4005 -0.1395 -0.3915
804346118203040384 -0.3975 -0.1425 -0.3855
804346118303040384 -0.399 -0.1455 -0.3855
804346118403040384 -0.39450002 -0.144 -0.3915
804346118503040384 -0.396 -0.1455 -0.39000002
804346118603040384 -0.387 -0.1335 -0.387
804346118703040384 -0.381 -0.12900001 -0.3855
804346118803040384 -0.3975 -0.138 -0.3885
804346118903040384 -0.3975 -0.141 -0.3885
804346119003040384 -0.4005 -0.1395 -0.387
804346119103040384 -0.399 -0.1395 -0.3915
804346119203040384 -0.3975 -0.144 -0.393
804346119303040384 -0.402 -0.1515 -0.393
804346119403040384 -0.399 -0.1455 -0.39000002
804346119503040384 -0.3855 -0.1395 -0.3855
804346119603040384 -0.3885 -0.144 -0.3855
804346119703040384 -0.4005 -0.144 -0.3885
804346119803040384 -0.399 -0.144 -0.39000002
804346119903040384 -0.402 -0.1335 -0.3885
804346120003040384 -0.3975 -0.1335 -0.3855
804346120103040384 -0.39450002 -0.144 -0.387
804346120203040384 -0.4005 -0.141 -0.39000002
804346120303040384 -0.402 -0.1425 -0.3885
804346120403040384 -0.4005 -0.141 -0.387
804346120503040384 -0.381 -0.1245 -0.3915
804346120603040384 -0.363 -0.126 -0.39000002
804346120703040384 -0.372 -0.147 -0.3855
804346120803040384 -0.387 -0.141 -0.39000002
804346120903040384 -0.3975 -0.1305 -0.387
804346121003040384 -0.4005 -0.1365 -0.3855
804346121103040384 -0.4065 -0.1425 -0.39000002
804346121203040384 -0.408 -0.1395 -0.39450002
804346121303040384 -0.4065 -0.1425 -0.39450002
804346121403040384 -0.4125 -0.1425 -0.39450002
804346121503040384 -0.423 -0.138 -0.393
804346121603040384 -0.4305 -0.1365 -0.39000002
804346121703040384 -0.4485 -0.132 -0.39000002
804346121803040384 -0.4725 -0.12900001 -0.393
804346121903040384 -0.4905 -0.1185 -0.3885
804346122003040384 -0.507 -0.1065 -0.387
804346122103040384 -0.51600003 -0.099 -0.3885
804346122203040384 -0.522 -0.0915 -0.3885
804346122303040384 -0.5385 -0.0825 -0.3825
804346122403040384 -0.5535 -0.0615 -0.3795
804346122503040384 -0.5625 -0.042 -0.384
804346122603040384 -0.579 -0.0255 -0.384
804346122703040384 -0.5895 0.0045 -0.3795
804346122803040384 -0.591 0.027 -0.3795
804346122903040384 -0.591 0.036 -0.3795
804346123003040384 -0.59250003 0.0375 -0.3795
804346123103040384 -0.591 0.0345 -0.387
804346123203040384 -0.5895 0.0285 -0.387
804346123303040384 -0.591 0.0255 -0.381
804346123403040384 -0.5865 0.027 -0.384
804346123503040384 -0.5775 0.0345 -0.39000002
804346123603040384 -0.576 0.042 -0.393
804346123703040384 -0.57 0.0435 -0.393
804346123803040384 -0.56700003 0.0405 -0.39000002
804346123903040392 -0.57 0.039 -0.3915
804346124002232960 -0.5745 0.0435 -0.393
804346124101425536 -0.5745 0.0435 -0.39450002
804346124200618112 -0.564 0.0555 -0.39000002
804346124299810816 -0.564 0.054 -0.39000002
804346124399003392 -0.5715 0.039 -0.39000002
804346124498195968 -0.5715 0.0405 -0.39450002
804346124597388544 -0.573 0.039 -0.39450002
804346124696581248 -0.5715 0.042 -0.393
804346124795773824 -0.573 0.0435 -0.393
804346124894966400 -0.573 0.039 -0.39000002
804346124994158976 -0.5715 0.0405 -0.39450002
804346125093351680 -0.573 0.0405 -0.399
804346125192544256 -0.579 0.0405 -0.39450002
804346125291736832 -0.5805 0.042 -0.393
804346125390929408 -0.573 0.042 -0.39000002
804346125490122112 -0.582 0.045 -0.3885
804346125589314688 -0.5895 0.051 -0.387
804346125688507264 -0.5715 0.066 -0.3855
804346125787699840 -0.5655 0.0885 -0.3825
804346125886892544 -0.56700003 0.1245 -0.3825
804346125986085120 -0.543 0.1605 -0.384
804346126085277696 -0.5145 0.1905 -0.387
804346126184470272 -0.4845 0.213 -0.3885
804346126283662976 -0.447 0.22500001 -0.387
804346126382855552 -0.4275 0.228 -0.3885
804346126482048128 -0.411 0.2235 -0.3885
804346126581240704 -0.4005 0.222 -0.3915
804346126680433408 -0.405 0.2175 -0.393
804346126779625984 -0.4035 0.219 -0.3885
804346126878818560 -0.4035 0.2235 -0.3885
804346126978011136 -0.4035 0.2325 -0.39000002
804346127077203840 -0.399 0.2385 -0.39000002
804346127176396416 -0.399 0.231 -0.39000002
804346127275588992 -0.402 0.228 -0.3915
804346127374781568 -0.4095 0.231 -0.393
804346127473974272 -0.4185 0.228 -0.393
804346127573166848 -0.426 0.222 -0.39450002
