TIMESTAMP X(mg) Y(mg) Z(mg)
805151377689132416 -1028 99 37
805151377766055552 -1033 102 29
805151377842978560 -1029 106 29
805151377919901696 -1031 96 31
805151377996824704 -1031 90 32
805151378073747840 -1035 95 39
805151378150670848 -1030 91 44
805151378227593984 -1034 90 36
805151378304516992 -1032 102 35
805151378381440128 -1032 92 38
805151378458363136 -1031 90 53
805151378535286272 -1034 89 39
805151378612209280 -1032 95 32
805151378689132416 -1031 93 35
805151378766055552 -1033 90 29
805151378842978560 -1034 89 38
805151378919901696 -1034 79 49
805151378996824704 -1032 81 40
805151379073747840 -1031 90 21
805151379150670848 -1035 91 4
805151379227593984 -1029 106 3
805151379304516992 -1032 92 12
805151379381440128 -1032 93 42
805151379458363136 -1033 76 18
805151379535286272 -1029 93 29
805151379612209280 -1031 94 36
805151379689132416 -1033 91 27
805151379766055552 -1030 91 10
805151379842978560 -1028 98 25
805151379919901696 -1029 77 51
805151379996824704 -1037 60 57
805151380073747840 -1036 73 47
805151380150670848 -1032 78 39
805151380227593984 -1034 82 28
805151380304516992 -1034 81 28
805151380381440128 -1031 79 33
805151380458363136 -1036 77 44
805151380535286272 -1034 73 42
805151380612209280 -1033 80 28
805151380689132416 -1031 95 23
805151380766055552 -1030 96 32
805151380842978560 -1035 79 34
805151380919901696 -1037 76 32
805151380996824704 -1028 93 20
805151381073747840 -1031 86 31
805151381150670848 -1033 71 32
805151381227593984 -1033 77 30
805151381304516992 -1028 104 13
805151381381440128 -1034 95 6
805151381458363136 -1029 96 12
805151381535286272 -1031 97 21
805151381612209280 -1030 97 26
805151381689132416 -1034 87 23
805151381766055552 -1031 74 41
805151381842978560 -1034 69 12
805151381919901696 -1034 67 -5
805151381996824704 -1031 87 20
805151382073747840 -1032 83 60
805151382150670848 -1031 83 60
805151382227593984 -1026 93 53
805151382304516992 -1034 78 48
805151382381440128 -1038 53 45
805151382458363136 -1036 41 41
805151382535286272 -1031 54 30
805151382612209280 -1029 76 31
805151382689132416 -1030 64 40
805151382766055552 -1033 61 40
805151382842978560 -1030 65 44
805151382919901696 -1033 65 36
805151382996824704 -1031 70 26
805151383073747840 -1031 77 20
805151383150670848 -1031 80 24
805151383227593984 -1037 75 27
805151383304516992 -1032 85 24
805151383381440128 -1033 84 29
805151383458363136 -1033 74 29
805151383535286272 -1033 78 34
805151383612209280 -1034 76 30
805151383689132416 -1034 72 26
805151383766055552 -1030 74 22
805151383842978560 -1039 64 22
