TIMESTAMP X(deg/sec) Y(deg/sec) Z(deg/sec)
805152761938975232 -0.91 -1.6800001 -0.63
805152762015898368 -0.91 -1.61 -0.63
805152762092821376 -0.91 -1.61 -0.63
805152762169744512 -0.91 -1.61 -0.7
805152762246667520 -0.91 -1.61 -0.63
805152762323590656 -0.91 -1.61 -0.63
805152762400513664 -0.91 -1.61 -0.63
805152762477436800 -0.91 -1.61 -0.63
805152762554359808 -0.91 -1.61 -0.7
805152762631282944 -0.91 -1.61 -0.63
805152762708205952 -0.91 -1.61 -0.63
805152762785129088 -0.84000003 -1.6800001 -0.7
805152762862052096 -0.91 -1.61 -0.63
805152762938975232 -0.91 -1.61 -0.63
805152763015898368 -0.91 -1.61 -0.63
805152763092821376 -0.91 -1.61 -0.63
805152763169744512 -0.91 -1.61 -0.63
805152763246667520 -0.91 -1.61 -0.63
805152763323590656 -0.91 -1.61 -0.63
805152763400513664 -0.91 -1.61 -0.63
805152763477436800 -0.91 -1.61 -0.63
805152763554359808 -0.91 -1.6800001 -0.63
805152763631282944 -0.91 -1.6800001 -0.63
805152763708205952 -0.91 -1.61 -0.63
805152763785129088 -0.84000003 -1.6800001 -0.7
805152763862052096 -0.91 -1.6800001 -0.63
805152763938975232 -0.91 -1.6800001 -0.63
805152764015898368 -0.91 -1.6800001 -0.63
805152764092821376 -0.91 -1.61 -0.63
805152764169744512 -0.91 -1.61 -0.63
805152764246667520 -0.91 -1.61 -0.63
805152764323590656 -0.91 -1.61 -0.63
805152764400513664 -0.91 -1.61 -0.63
805152764477436800 -0.91 -1.6800001 -0.63
805152764554359808 -0.91 -1.61 -0.63
805152764631282944 -0.91 -1.61 -0.63
805152764708205952 -0.91 -1.61 -0.63
805152764785129088 -0.91 -1.61 -0.63
805152764862052096 -0.91 -1.61 -0.7
805152764938975232 -0.91 -1.6800001 -0.7
805152765015898368 -0.84000003 -1.6800001 -0.63
805152765092821376 -0.91 -1.61 -0.63
805152765169744512 -0.91 -1.61 -0.7
805152765246667520 -0.91 -1.61 -0.63
805152765323590656 -0.91 -1.6800001 -0.63
805152765400513664 -0.91 -1.6800001 -0.63
805152765477436800 -0.91 -1.6800001 -0.63
805152765554359808 -0.91 -1.61 -0.63
805152765631282944 -0.91 -1.61 -0.7
805152765708205952 -0.91 -1.61 -0.7
805152765785129088 -0.91 -1.61 -0.7
805152765862052096 -0.91 -1.61 -0.63
805152765938975232 -0.91 -1.61 -0.7
805152766015898368 -0.84000003 -1.61 -0.63
805152766092821376 -0.91 -1.61 -0.63
805152766169744512 -0.84000003 -1.61 -0.7
805152766246667520 -0.91 -1.61 -0.7
805152766323590656 -0.91 -1.61 -0.7
805152766400513664 -0.91 -1.61 -0.63
805152766477436800 -0.91 -1.61 -0.7
805152766554359808 -0.91 -1.61 -0.63
805152766631282944 -0.91 -1.61 -0.7
805152766708205952 -0.84000003 -1.61 -0.7
805152766785129088 -0.91 -1.61 -0.63
805152766862052096 -0.91 -1.61 -0.7
805152766938975232 -0.91 -1.61 -0.7
805152767015898368 -0.91 -1.61 -0.7
805152767092821376 -0.91 -1.6800001 -0.63
805152767169744512 -0.91 -1.6800001 -0.63
805152767246667520 -0.84000003 -1.61 -0.7
805152767323590656 -0.84000003 -1.61 -0.7
805152767400513664 -0.84000003 -1.61 -0.7
805152767477436800 -0.91 -1.61 -0.7
805152767554359808 -0.91 -1.61 -0.7
805152767631282944 -0.91 -1.61 -0.7
805152767708205952 -0.91 -1.61 -0.7
805152767785129088 -0.91 -1.61 -0.63
805152767862052096 -0.91 -1.61 -0.63
805152767938975232 -0.91 -1.61 -0.7
805152768015898368 -0.91 -1.61 -0.63
805152768092821376 -0.91 -1.61 -0.7
805152768169744512 -0.84000003 -1.61 -0.7
805152768246667520 -0.91 -1.61 -0.7
805152768323590656 -0.91 -1.61 -0.7
805152768400513664 -0.91 -1.61 -0.7
805152768477436800 -0.91 -1.61 -0.7
805152768554359808 -0.91 -1.61 -0.63
805152768631282944 -0.91 -1.61 -0.7
805152768708205952 -0.91 -1.61 -0.63
805152768785129088 -0.91 -1.61 -0.63
805152768862052096 -0.91 -1.61 -0.7
805152768938975232 -0.84000003 -1.61 -0.7
805152769015898368 -0.84000003 -1.61 -0.7
805152769092821376 -0.91 -1.61 -0.7
805152769169744512 -0.91 -1.61 -0.7
805152769246667520 -0.91 -1.61 -0.7
805152769323590656 -0.84000003 -1.61 -0.7
805152769400513664 -0.91 -1.6800001 -0.63
805152769477436800 -0.91 -1.61 -0.7
805152769554359808 -0.91 -1.61 -0.7
805152769631282944 -0.91 -1.61 -0.7
805152769708205952 -0.91 -1.61 -0.7
805152769785129088 -0.91 -1.6800001 -0.7
805152769862052096 -0.91 -1.61 -0.7
805152769938975232 -0.91 -1.61 -0.7
805152770015898368 -0.91 -1.61 -0.7
805152770092821376 -0.91 -1.61 -0.7
805152770169744512 -0.91 -1.61 -0.63
805152770246667520 -0.91 -1.61 -0.63
805152770323590656 -0.91 -1.61 -0.7
805152770400513664 -0.91 -1.61 -0.7
805152770477436800 -0.91 -1.6800001 -0.7
