TIMESTAMP X(Gauss) Y(Gauss) Z(Gauss)
805152763255782528 -1.449 -0.447 -0.56700003
805152763355782528 -1.4445 -0.4425 -0.5685
805152763455782528 -1.4505 -0.4305 -0.5685
805152763555782528 -1.4535 -0.4335 -0.564
805152763655782528 -1.4595 -0.441 -0.561
805152763755782528 -1.4445 -0.4365 -0.5655
805152763855782528 -1.4475 -0.438 -0.5685
805152763955782528 -1.4595 -0.4425 -0.57
805152764055782528 -1.461 -0.4395 -0.5685
805152764155782528 -1.4565 -0.4425 -0.5685
805152764255782528 -1.4655 -0.4485 -0.5685
805152764355782528 -1.47 -0.4425 -0.5625
805152764455782528 -1.4565 -0.441 -0.564
805152764555782528 -1.4475 -0.441 -0.56700003
805152764655782528 -1.443 -0.4425 -0.573
805152764755782528 -1.452 -0.44550002 -0.573
805152764855782528 -1.44 -0.441 -0.5685
805152764955782528 -1.4415001 -0.44550002 -0.5685
805152765055782528 -1.4505 -0.444 -0.5685
805152765155782528 -1.446 -0.438 -0.5685
805152765255782528 -1.4565 -0.438 -0.56700003
805152765355782528 -1.4475 -0.441 -0.573
805152765455782528 -1.4475 -0.438 -0.5745
805152765555782528 -1.4595 -0.4395 -0.573
805152765655782528 -1.47 -0.447 -0.56700003
805152765755782528 -1.479 -0.44550002 -0.564
805152765855782528 -1.479 -0.44550002 -0.564
805152765955782528 -1.4760001 -0.447 -0.564
805152766055782528 -1.47 -0.447 -0.558
805152766155782528 -1.4715 -0.447 -0.561
805152766255782528 -1.4775 -0.444 -0.56700003
805152766355782528 -1.4775 -0.44550002 -0.56700003
805152766455782528 -1.4775 -0.4485 -0.56700003
805152766555782528 -1.461 -0.432 -0.5685
805152766655782528 -1.461 -0.432 -0.5685
805152766755782528 -1.4775 -0.44550002 -0.564
805152766855782528 -1.461 -0.4365 -0.564
805152766955782528 -1.4580001 -0.4365 -0.5625
805152767055782528 -1.4760001 -0.4515 -0.564
805152767155782528 -1.4760001 -0.453 -0.564
805152767255782528 -1.4760001 -0.4485 -0.564
805152767355782528 -1.482 -0.444 -0.5625
805152767455782528 -1.4745001 -0.444 -0.561
805152767555782528 -1.4715 -0.444 -0.564
805152767655782528 -1.4745001 -0.4425 -0.5655
805152767755782528 -1.4745001 -0.4485 -0.564
805152767855782528 -1.4760001 -0.447 -0.564
805152767955782528 -1.4775 -0.44550002 -0.564
805152768055782528 -1.4745001 -0.447 -0.564
805152768155782528 -1.479 -0.4485 -0.564
805152768255782528 -1.4805 -0.4485 -0.564
805152768355782528 -1.47 -0.4425 -0.564
805152768455782528 -1.461 -0.4425 -0.5655
805152768555782528 -1.467 -0.4485 -0.5685
805152768655782528 -1.4760001 -0.4485 -0.5685
805152768755782528 -1.4760001 -0.44550002 -0.5655
805152768855782528 -1.4745001 -0.444 -0.5685
805152768955782528 -1.4805 -0.444 -0.57
805152769055782528 -1.482 -0.44550002 -0.5655
805152769155782528 -1.4775 -0.4485 -0.5625
805152769255782528 -1.479 -0.444 -0.5655
805152769355782528 -1.4760001 -0.441 -0.5685
805152769455782528 -1.4745001 -0.45000002 -0.56700003
805152769555782528 -1.479 -0.44550002 -0.564
805152769655782528 -1.479 -0.441 -0.5595
805152769755782528 -1.4760001 -0.444 -0.5595
805152769855782528 -1.4745001 -0.444 -0.561
805152769955782528 -1.473 -0.4425 -0.561
805152770055782528 -1.4715 -0.4365 -0.561
805152770155782528 -1.4745001 -0.4395 -0.56700003
805152770255782528 -1.482 -0.447 -0.564
805152770355782528 -1.482 -0.441 -0.5625
805152770455782528 -1.4775 -0.4425 -0.564
805152770555782528 -1.4805 -0.444 -0.5625
805152770655782528 -1.4760001 -0.4365 -0.564
805152770755782528 -1.4760001 -0.4365 -0.5655
805152770855782528 -1.479 -0.441 -0.5655
805152770955782528 -1.4760001 -0.447 -0.56700003
805152771055782528 -1.4760001 -0.453 -0.57
805152771155782528 -1.473 -0.4545 -0.56700003
805152771255782528 -1.4745001 -0.4485 -0.5655
805152771355782528 -1.4775 -0.447 -0.5655
805152771455782528 -1.4775 -0.4485 -0.56700003
805152771555782528 -1.4760001 -0.447 -0.56700003
805152771655782528 -1.4745001 -0.44550002 -0.564
805152771755782528 -1.4805 -0.447 -0.561
805152771855782528 -1.4835 -0.44550002 -0.5625
805152771955782528 -1.4715 -0.438 -0.57
805152772055782528 -1.4655 -0.4275 -0.573
805152772155782528 -1.4715 -0.429 -0.576
805152772255782528 -1.4760001 -0.4215 -0.5835
805152772355782528 -1.4805 -0.411 -0.5895
805152772455782528 -1.4805 -0.4005 -0.5955
805152772555782528 -1.4745001 -0.3855 -0.597
805152772655782528 -1.4760001 -0.378 -0.6075
805152772755782528 -1.4760001 -0.357 -0.6165
805152772855782528 -1.4715 -0.327 -0.621
805152772955782528 -1.47 -0.306 -0.62700003
805152773055782528 -1.47 -0.2805 -0.633
805152773155782528 -1.464 -0.24000001 -0.6345
805152773255782528 -1.4625 -0.222 -0.6375
805152773355782528 -1.467 -0.213 -0.6405
805152773455782528 -1.4625 -0.1785 -0.6405
805152773555782528 -1.4580001 -0.144 -0.63
805152773655782528 -1.461 -0.126 -0.621
805152773755782528 -1.4655 -0.1095 -0.6165
805152773855782528 -1.4595 -0.09 -0.612
805152773955782528 -1.4565 -0.075 -0.6045
805152774055782528 -1.4595 -0.0615 -0.594
805152774155782528 -1.455 -0.045 -0.5835
805152774255782528 -1.4535 -0.0195 -0.56700003
805152774355782528 -1.455 -0.0015 -0.552
805152774455782528 -1.461 0.012 -0.54
805152774555782528 -1.4595 0.030000001 -0.5235
805152774655782528 -1.4505 0.0375 -0.5085
805152774755782528 -1.4535 0.051 -0.49650002
805152774855782528 -1.464 0.064500004 -0.48000002
805152774955782528 -1.467 0.075 -0.456
805152775055782528 -1.464 0.09 -0.4275
805152775155782528 -1.4625 0.1035 -0.4035
805152775255782528 -1.461 0.1095 -0.381
805152775355782528 -1.461 0.111 -0.3555
805152775455782528 -1.464 0.111 -0.327
805152775555782528 -1.4655 0.112500004 -0.303
805152775655782528 -1.446 0.112500004 -0.2865
805152775755782528 -1.428 0.114 -0.288
805152775855782528 -1.4475 0.126 -0.2865
805152775955782528 -1.4580001 0.1215 -0.285
805152776055782491 -1.4565 0.108 -0.291
805152776157463040 -1.4580001 0.1065 -0.282
805152776259143552 -1.4595 0.102 -0.255
805152776360823936 -1.4625 0.0915 -0.22500001
805152776462504448 -1.4655 0.0825 -0.1935
805152776564184960 -1.4655 0.0675 -0.1665
805152776665865344 -1.4655 0.0405 -0.1425
805152776767545856 -1.467 0.015000001 -0.1095
805152776869226240 -1.47 -0.0045 -0.0825
805152776970906752 -1.4760001 -0.021 -0.0675
805152777072587264 -1.4760001 -0.0435 -0.0555
805152777174267648 -1.4715 -0.069 -0.0435
805152777275948160 -1.4655 -0.0885 -0.0315
805152777377628672 -1.464 -0.117 -0.0225
805152777479309056 -1.464 -0.141 -0.0195
805152777580989568 -1.464 -0.15450001 -0.012
805152777682670080 -1.464 -0.16950001 -0.009
805152777784350464 -1.467 -0.177 -0.009
805152777886030976 -1.47 -0.186 -0.0105
805152777987711488 -1.47 -0.1965 -0.0105
805152778089391872 -1.4745001 -0.21000001 -0.0045
805152778191072384 -1.4835 -0.2295 -0.003
805152778292752768 -1.488 -0.255 -0.009
805152778394433280 -1.4865 -0.276 -0.009
805152778496113792 -1.488 -0.297 -0.0105
805152778597794176 -1.4865 -0.3225 -0.0195
805152778699474688 -1.488 -0.351 -0.027
805152778801155200 -1.4745001 -0.378 -0.039
805152778902835584 -1.4775 -0.4125 -0.0585
805152779004516096 -1.494 -0.447 -0.0735
805152779106196608 -1.497 -0.462 -0.0915
805152779207876992 -1.4985 -0.47550002 -0.108
805152779309557504 -1.4925001 -0.489 -0.126
805152779411237888 -1.494 -0.504 -0.147
805152779512918400 -1.503 -0.5175 -0.1575
805152779614598912 -1.4985 -0.528 -0.1725
805152779716279296 -1.4925001 -0.54150003 -0.19500001
805152779817959808 -1.491 -0.552 -0.2205
805152779919640320 -1.4865 -0.5565 -0.243
805152780021320704 -1.4895 -0.5595 -0.2685
805152780123001216 -1.485 -0.5655 -0.303
805152780224681728 -1.485 -0.56700003 -0.33
805152780326362112 -1.467 -0.5655 -0.3585
805152780428042624 -1.4535 -0.558 -0.387
805152780529723008 -1.473 -0.5475 -0.4215
805152780631403520 -1.4865 -0.537 -0.45000002
805152780733084032 -1.4895 -0.5205 -0.47550002
805152780834764416 -1.488 -0.5055 -0.5025
805152780936444928 -1.4835 -0.492 -0.5235
805152781038125440 -1.4835 -0.483 -0.5325
805152781139805824 -1.4835 -0.4725 -0.54
805152781241486336 -1.4835 -0.4605 -0.5565
805152781343166848 -1.485 -0.459 -0.561
805152781444847232 -1.482 -0.462 -0.5565
805152781546527744 -1.479 -0.4635 -0.5535
805152781648208256 -1.4760001 -0.4575 -0.5535
805152781749888640 -1.482 -0.4545 -0.5565
805152781851569152 -1.485 -0.459 -0.5535
805152781953249536 -1.488 -0.453 -0.5595
805152782054930048 -1.4865 -0.4485 -0.5655
805152782156610560 -1.479 -0.44550002 -0.5625
805152782258290944 -1.4775 -0.4485 -0.56700003
805152782359971456 -1.482 -0.453 -0.57
805152782461651968 -1.4865 -0.4485 -0.56700003
805152782563332352 -1.47 -0.4335 -0.564
805152782665012864 -1.449 -0.42450002 -0.564
805152782766693376 -1.4625 -0.441 -0.5625
805152782868373760 -1.479 -0.4545 -0.564
805152782970054272 -1.4835 -0.453 -0.57
805152783071734656 -1.4805 -0.453 -0.56700003
805152783173415168 -1.4760001 -0.4545 -0.5715
805152783275095680 -1.4805 -0.4515 -0.56700003
805152783376776064 -1.4865 -0.4515 -0.5655
805152783478456576 -1.4715 -0.4545 -0.56700003
805152783580137088 -1.4715 -0.4515 -0.564
805152783681817472 -1.4865 -0.4485 -0.564
805152783783497984 -1.4835 -0.4515 -0.5655
805152783885178496 -1.4835 -0.453 -0.564
805152783986858880 -1.473 -0.447 -0.564
805152784088539392 -1.47 -0.441 -0.56700003
805152784190219776 -1.4835 -0.444 -0.56700003
