TIMESTAMP X(mg) Y(mg) Z(mg)
805153283337328512 -5 1058 26
805153283414251648 -3 1057 24
805153283491174656 -5 1058 23
805153283568097792 -5 1058 26
805153283645020800 -4 1055 24
805153283721943936 -3 1057 24
805153283798866944 -4 1054 25
805153283875790080 -4 1056 25
805153283952713088 -4 1056 25
805153284029636224 -3 1057 24
805153284106559232 -4 1058 24
805153284183482368 -4 1055 24
805153284260405376 -7 1056 25
805153284337328512 -4 1054 22
805153284414251648 -5 1054 24
805153284491174656 -2 1057 26
805153284568097792 -5 1057 25
805153284645020800 -2 1055 23
805153284721943936 -3 1056 26
805153284798866944 -4 1059 24
805153284875790080 -4 1057 25
805153284952713088 -2 1057 22
805153285029636224 -4 1056 21
805153285106559232 -2 1056 21
805153285183482368 -2 1056 19
805153285260405376 -3 1057 16
805153285337328512 -3 1057 19
805153285414251648 -1 1058 19
805153285491174656 -3 1057 19
805153285568097792 -3 1056 15
805153285645020800 -3 1056 19
805153285721943936 -1 1057 17
805153285798866944 -4 1053 16
805153285875790080 -2 1058 17
805153285952713088 -2 1058 17
805153286029636224 -4 1057 16
805153286106559232 -4 1059 16
805153286183482368 -4 1056 12
805153286260405376 -6 1058 16
805153286337328512 -6 1056 18
805153286414251648 -2 1056 13
805153286491174656 -2 1057 17
805153286568097792 -3 1056 16
805153286645020800 -1 1058 15
805153286721943936 -5 1057 16
805153286798866944 -3 1058 15
805153286875790080 -5 1055 17
805153286952713088 -3 1058 17
805153287029636224 -5 1053 14
805153287106559232 -4 1058 17
805153287183482368 -4 1056 15
805153287260405376 -3 1056 18
805153287337328512 -4 1056 16
805153287414251648 -2 1055 15
805153287491174656 -2 1054 15
805153287568097792 -1 1054 20
805153287645020800 -3 1058 13
805153287721943936 -3 1056 19
805153287798866944 0 1057 17
805153287875790080 -2 1057 15
805153287952713088 -3 1059 17
805153288029636224 -4 1057 17
805153288106559232 -5 1055 16
805153288183482368 -3 1057 15
805153288260405376 -2 1055 17
805153288337328512 -5 1055 16
805153288414251648 -2 1055 17
805153288491174656 -4 1056 15
805153288568097792 -1 1055 16
805153288645020800 -5 1059 17
805153288721943936 -3 1057 17
805153288798866944 -4 1056 17
805153288875790080 -4 1056 15
805153288952713088 -2 1055 16
805153289029636224 -3 1056 17
805153289106559232 -4 1058 17
805153289183482368 -5 1057 17
805153289260405376 -4 1056 17
805153289337328512 -3 1056 15
805153289414251648 -4 1057 16
805153289491174656 -2 1052 16
805153289568097792 -3 1057 17
805153289645020800 -3 1057 15
805153289721943936 -4 1053 16
805153289798866944 -4 1057 13
805153289875790080 -2 1058 16
805153289952713088 -4 1057 15
805153290029636224 -3 1058 16
805153290106559232 -4 1054 17
805153290183482368 1 1057 17
