TIMESTAMP X(deg/sec) Y(deg/sec) Z(deg/sec)
805153286461315328 -0.91 -1.6800001 -0.7
805153286538238464 -0.91 -1.6800001 -0.63
805153286615161472 -0.98 -1.6800001 -0.63
805153286692084608 -0.91 -1.6800001 -0.7
805153286769007616 -0.91 -1.61 -0.7
805153286845930752 -0.91 -1.6800001 -0.63
805153286922853760 -0.91 -1.6800001 -0.63
805153286999776896 -0.98 -1.6800001 -0.63
805153287076699904 -0.91 -1.6800001 -0.63
805153287153623040 -0.98 -1.6800001 -0.63
805153287230546048 -0.98 -1.6800001 -0.63
805153287307469184 -0.98 -1.6800001 -0.63
805153287384392192 -0.98 -1.6800001 -0.63
805153287461315328 -0.91 -1.6800001 -0.63
805153287538238464 -0.91 -1.61 -0.63
805153287615161472 -0.91 -1.6800001 -0.63
805153287692084608 -0.98 -1.6800001 -0.63
805153287769007616 -0.98 -1.6800001 -0.63
805153287845930752 -0.91 -1.6800001 -0.63
805153287922853760 -0.91 -1.61 -0.63
805153287999776896 -0.91 -1.61 -0.63
805153288076699904 -0.91 -1.6800001 -0.63
805153288153623040 -0.91 -1.6800001 -0.63
805153288230546048 -0.91 -1.6800001 -0.63
805153288307469184 -0.91 -1.6800001 -0.7
805153288384392192 -0.91 -1.6800001 -0.7
805153288461315328 -0.91 -1.6800001 -0.63
805153288538238464 -0.91 -1.6800001 -0.63
805153288615161472 -0.91 -1.61 -0.7
805153288692084608 -0.91 -1.61 -0.7
805153288769007616 -0.91 -1.6800001 -0.63
805153288845930752 -0.91 -1.61 -0.7
805153288922853760 -0.91 -1.61 -0.63
805153288999776896 -0.91 -1.61 -0.63
805153289076699904 -0.91 -1.6800001 -0.63
805153289153623040 -0.91 -1.6800001 -0.63
805153289230546048 -0.91 -1.6800001 -0.63
805153289307469184 -0.98 -1.6800001 -0.63
805153289384392192 -0.91 -1.6800001 -0.63
805153289461315328 -0.91 -1.6800001 -0.63
805153289538238464 -0.91 -1.61 -0.63
805153289615161472 -0.91 -1.61 -0.63
805153289692084608 -0.91 -1.6800001 -0.63
805153289769007616 -0.91 -1.61 -0.7
805153289845930752 -0.91 -1.6800001 -0.63
805153289922853760 -0.91 -1.61 -0.7
805153289999776896 -0.91 -1.61 -0.7
805153290076699904 -0.91 -1.6800001 -0.7
805153290153623040 -0.91 -1.61 -0.63
805153290230546048 -0.91 -1.6800001 -0.63
805153290307469184 -0.91 -1.6800001 -0.7
805153290384392192 -0.91 -1.6800001 -0.63
805153290461315328 -0.91 -1.61 -0.63
805153290538238464 -0.98 -1.6800001 -0.7
805153290615161472 -0.91 -1.61 -0.63
805153290692084608 -0.91 -1.6800001 -0.63
805153290769007616 -0.91 -1.6800001 -0.63
805153290845930752 -0.91 -1.6800001 -0.7
805153290922853760 -0.91 -1.6800001 -0.63
805153290999776896 -0.91 -1.6800001 -0.63
805153291076699904 -0.91 -1.6800001 -0.63
805153291153623040 -0.91 -1.61 -0.63
805153291230546048 -0.91 -1.61 -0.7
805153291307469184 -0.91 -1.6800001 -0.63
805153291384392192 -0.91 -1.6800001 -0.63
805153291461315328 -0.91 -1.6800001 -0.63
805153291538238464 -0.98 -1.6800001 -0.63
805153291615161472 -0.91 -1.61 -0.7
805153291692084608 -0.91 -1.61 -0.7
805153291769007616 -0.91 -1.6800001 -0.7
805153291845930752 -0.98 -1.6800001 -0.63
805153291922853760 -0.91 -1.6800001 -0.63
805153291999776896 -0.91 -1.61 -0.63
805153292076699904 -0.91 -1.61 -0.63
805153292153623040 -0.91 -1.61 -0.63
805153292230546048 -0.91 -1.61 -0.7
805153292307469184 -0.91 -1.61 -0.63
805153292384392192 -0.91 -1.6800001 -0.63
805153292461315328 -0.91 -1.6800001 -0.63
805153292538238464 -0.91 -1.6800001 -0.63
805153292615161472 -0.91 -1.61 -0.7
805153292692084608 -0.91 -1.6800001 -0.7
805153292769007616 -0.91 -1.6800001 -0.63
805153292845930752 -0.91 -1.6800001 -0.63
805153292922853760 -0.91 -1.6800001 -0.63
805153292999776896 -0.84000003 -1.6800001 -0.63
805153293076699904 -0.91 -1.6800001 -0.63
805153293153623040 -0.84000003 -1.6800001 -0.63
805153293230546048 -0.84000003 -1.61 -0.63
805153293307469184 -0.91 -1.6800001 -0.63
805153293384392192 -0.91 -1.6800001 -0.63
805153293461315328 -0.91 -1.6800001 -0.63
805153293538238464 -0.91 -1.6800001 -0.63
805153293615161472 -0.91 -1.6800001 -0.63
805153293692084608 -0.91 -1.6800001 -0.63
805153293769007616 -0.91 -1.6800001 -0.7
805153293845930752 -0.91 -1.6800001 -0.63
805153293922853760 -0.91 -1.6800001 -0.63
805153293999776896 -0.91 -1.6800001 -0.63
805153294076699904 -0.91 -1.61 -0.63
805153294153623040 -0.91 -1.61 -0.63
805153294230546048 -0.91 -1.6800001 -0.63
805153294307469184 -0.98 -1.6800001 -0.7
805153294384392192 -0.91 -1.6800001 -0.63
805153294461315328 -0.91 -1.6800001 -0.7
805153294538238464 -0.91 -1.6800001 -0.63
805153294615161472 -0.91 -1.6800001 -0.63
805153294692084608 -0.98 -1.6800001 -0.63
805153294769007616 -0.91 -1.6800001 -0.63
805153294845930752 -0.91 -1.6800001 -0.63
805153294922853760 -0.91 -1.6800001 -0.63
805153294999776896 -0.91 -1.6800001 -0.63
805153295076699904 -0.91 -1.6800001 -0.63
805153295153623040 -0.98 -1.6800001 -0.63
805153295230546048 -0.98 -1.6800001 -0.63
805153295307469184 -0.91 -1.6800001 -0.63
805153295384392192 -0.91 -1.61 -0.63
805153295461315328 -0.98 -1.6800001 -0.63
805153295538238464 -0.91 -1.6800001 -0.63
805153295615161472 -0.91 -1.61 -0.7
805153295692084608 -0.91 -1.61 -0.63
805153295769007616 -0.91 -1.6800001 -0.63
805153295845930752 -0.91 -1.61 -0.7
805153295922853760 -0.91 -1.6800001 -0.63
805153295999776896 -0.91 -1.6800001 -0.63
805153296076699904 -0.91 -1.6800001 -0.7
805153296153623040 -0.91 -1.6800001 -0.63
805153296230546048 -0.91 -1.6800001 -0.63
