TIMESTAMP X(Gauss) Y(Gauss) Z(Gauss)
805153288045182976 -1.518 -0.0495 -0.561
805153288145182976 -1.5225 -0.051 -0.558
805153288245182976 -1.524 -0.054 -0.561
805153288345182976 -1.524 -0.045 -0.555
805153288445182976 -1.521 -0.039 -0.555
805153288545182976 -1.5090001 -0.0315 -0.561
805153288645182976 -1.5105 -0.0345 -0.5595
805153288745182976 -1.5225 -0.048 -0.555
805153288845182976 -1.5225 -0.052500002 -0.5565
805153288945182976 -1.5195 -0.054 -0.558
805153289045182976 -1.524 -0.051 -0.555
805153289145182976 -1.5225 -0.0465 -0.5565
805153289245182976 -1.5165 -0.045 -0.5565
805153289345182976 -1.521 -0.051 -0.555
805153289445182976 -1.5270001 -0.051 -0.5595
805153289545182976 -1.524 -0.0465 -0.558
805153289645182976 -1.5225 -0.0465 -0.558
805153289745182976 -1.5165 -0.048 -0.558
805153289845182976 -1.5135 -0.0495 -0.5595
805153289945182976 -1.5195 -0.054 -0.561
805153290045182976 -1.524 -0.052500002 -0.5625
805153290145182976 -1.5255 -0.0465 -0.564
805153290245182976 -1.5270001 -0.0465 -0.5595
805153290345182976 -1.5225 -0.0495 -0.5565
805153290445182976 -1.5225 -0.051 -0.5595
805153290545182976 -1.5225 -0.048 -0.5595
805153290645182976 -1.5255 -0.0465 -0.5595
805153290745182976 -1.53 -0.045 -0.5595
805153290845182976 -1.5285 -0.045 -0.558
805153290945182976 -1.5225 -0.048 -0.555
805153291045182976 -1.515 -0.0465 -0.5535
805153291145182976 -1.518 -0.0465 -0.5565
805153291245182976 -1.521 -0.052500002 -0.561
805153291345182976 -1.524 -0.054 -0.5595
805153291445182976 -1.53 -0.054 -0.561
805153291545182976 -1.5270001 -0.051 -0.561
805153291645182976 -1.5270001 -0.051 -0.5595
805153291745182976 -1.5270001 -0.0555 -0.561
805153291845182976 -1.5255 -0.0495 -0.5595
805153291945182976 -1.5255 -0.048 -0.5595
805153292045182976 -1.503 -0.039 -0.561
805153292145182976 -1.491 -0.0255 -0.5565
805153292245182976 -1.512 -0.024 -0.5565
805153292345182976 -1.518 -0.039 -0.558
805153292445182976 -1.5195 -0.054 -0.558
805153292545182976 -1.521 -0.057 -0.5595
805153292645182976 -1.5195 -0.054 -0.5565
805153292745182976 -1.521 -0.0495 -0.5565
805153292845182976 -1.5270001 -0.051 -0.558
805153292945182976 -1.5285 -0.051 -0.5625
805153293045182976 -1.5225 -0.052500002 -0.5685
805153293145182976 -1.5165 -0.051 -0.5625
805153293245182976 -1.521 -0.0495 -0.558
805153293345182976 -1.5225 -0.051 -0.5595
805153293445182976 -1.518 -0.057 -0.5595
805153293545182976 -1.521 -0.052500002 -0.5625
805153293645182976 -1.5225 -0.048 -0.558
805153293745182976 -1.524 -0.051 -0.5565
805153293845182976 -1.5270001 -0.052500002 -0.561
805153293945182976 -1.5225 -0.054 -0.5595
805153294045182976 -1.524 -0.0555 -0.558
805153294145182976 -1.5225 -0.048 -0.5565
805153294245182976 -1.521 -0.048 -0.5595
805153294345182976 -1.521 -0.054 -0.558
805153294445182976 -1.5165 -0.052500002 -0.5505
805153294545182976 -1.5225 -0.052500002 -0.5535
805153294645182976 -1.5270001 -0.052500002 -0.558
805153294745182976 -1.5255 -0.0495 -0.5565
805153294845182976 -1.521 -0.051 -0.5565
805153294945182976 -1.518 -0.051 -0.558
805153295045182976 -1.524 -0.051 -0.558
805153295145182976 -1.5270001 -0.054 -0.558
805153295245182976 -1.524 -0.052500002 -0.5625
805153295345182976 -1.5195 -0.048 -0.5565
805153295445182976 -1.5225 -0.051 -0.555
805153295545182976 -1.5255 -0.051 -0.5595
805153295645182976 -1.5195 -0.048 -0.558
805153295745182976 -1.515 -0.0495 -0.555
805153295845182976 -1.518 -0.0495 -0.5535
805153295945182976 -1.5255 -0.0495 -0.5565
805153296045182976 -1.524 -0.0495 -0.5565
805153296145182976 -1.5225 -0.051 -0.5565
805153296245182976 -1.524 -0.0495 -0.5565
805153296345182976 -1.521 -0.0465 -0.5535
805153296445182976 -1.521 -0.0465 -0.5565
805153296545182976 -1.5225 -0.045 -0.5595
805153296645182976 -1.521 -0.0495 -0.558
805153296745182976 -1.503 -0.0465 -0.5595
805153296845182976 -1.5 -0.0405 -0.555
805153296945182976 -1.5165 -0.048 -0.5535
805153297045182976 -1.5195 -0.0495 -0.555
805153297145182976 -1.524 -0.052500002 -0.555
805153297245182976 -1.5255 -0.054 -0.552
805153297345182976 -1.524 -0.051 -0.5535
805153297445182976 -1.5255 -0.051 -0.555
805153297545182976 -1.524 -0.0495 -0.552
805153297645182976 -1.524 -0.048 -0.549
805153297745182976 -1.5225 -0.051 -0.552
805153297845182976 -1.5195 -0.051 -0.558
805153297945182976 -1.5195 -0.045 -0.555
