TIMESTAMP X(deg/sec) Y(deg/sec) Z(deg/sec)
805127908280622592 -0.84000003 -1.61 -0.7
805127908357545728 -0.84000003 -1.54 -0.7
805127908434468736 -0.84000003 -1.61 -0.7
805127908511391872 -0.84000003 -1.61 -0.7
805127908588314880 -0.84000003 -1.61 -0.63
805127908665238016 -0.84000003 -1.61 -0.7
805127908742161024 -0.84000003 -1.61 -0.7
805127908819084160 -0.91 -1.61 -0.63
805127908896007168 -0.84000003 -1.61 -0.7
805127908972930304 -0.84000003 -1.61 -0.7
805127909049853312 -0.84000003 -1.54 -0.63
805127909126776448 -0.84000003 -1.61 -0.63
805127909203699456 -0.84000003 -1.61 -0.7
805127909280622592 -0.84000003 -1.61 -0.7
805127909357545728 -0.84000003 -1.54 -0.7
805127909434468736 -0.84000003 -1.61 -0.7
805127909511391872 -0.84000003 -1.61 -0.7
805127909588314880 -0.84000003 -1.61 -0.7
805127909665238016 -0.84000003 -1.61 -0.7
805127909742161024 -0.84000003 -1.61 -0.7
805127909819084160 -0.84000003 -1.61 -0.7
805127909896007168 -0.84000003 -1.61 -0.7
805127909972930304 -0.84000003 -1.61 -0.63
805127910049853312 -0.84000003 -1.61 -0.63
805127910126776448 -0.84000003 -1.61 -0.7
805127910203699456 -0.84000003 -1.61 -0.7
805127910280622592 -0.84000003 -1.61 -0.7
805127910357545728 -0.84000003 -1.61 -0.7
805127910434468736 -0.84000003 -1.61 -0.7
805127910511391872 -0.84000003 -1.61 -0.63
805127910588314880 -0.84000003 -1.61 -0.7
805127910665238016 -0.84000003 -1.61 -0.7
805127910742161024 -0.84000003 -1.54 -0.7
805127910819084160 -0.84000003 -1.61 -0.7
805127910896007168 -0.84000003 -1.61 -0.63
805127910972930304 -0.84000003 -1.61 -0.7
805127911049853312 -0.84000003 -1.61 -0.7
805127911126776448 -0.84000003 -1.61 -0.7
805127911203699456 -0.91 -1.61 -0.63
805127911280622592 -0.84000003 -1.61 -0.7
805127911357545728 -0.84000003 -1.54 -0.63
805127911434468736 -0.84000003 -1.54 -0.7
805127911511391872 -0.91 -1.61 -0.7
805127911588314880 -0.84000003 -1.54 -0.7
805127911665238016 -0.84000003 -1.61 -0.63
805127911742161024 -0.84000003 -1.61 -0.63
805127911819084160 -0.84000003 -1.54 -0.7
805127911896007168 -0.84000003 -1.54 -0.7
805127911972930304 -0.84000003 -1.54 -0.7
805127912049853312 -0.84000003 -1.61 -0.63
805127912126776448 -0.84000003 -1.61 -0.63
805127912203699456 -0.84000003 -1.54 -0.7
805127912280622592 -0.84000003 -1.61 -0.7
805127912357545728 -0.84000003 -1.61 -0.63
805127912434468736 -0.84000003 -1.61 -0.7
805127912511391872 -0.84000003 -1.61 -0.7
805127912588314880 -0.91 -1.6800001 -0.7
805127912665238016 -0.91 -1.6800001 -0.63
805127912742161024 -0.91 -1.61 -0.7
805127912819084160 -0.84000003 -1.61 -0.63
805127912896007168 -0.84000003 -1.61 -0.7
805127912972930304 -0.84000003 -1.61 -0.7
805127913049853312 -0.84000003 -1.61 -0.7
805127913126776448 -0.84000003 -1.61 -0.7
805127913203699456 -0.84000003 -1.61 -0.63
805127913280622592 -0.84000003 -1.61 -0.63
805127913357545728 -0.84000003 -1.61 -0.63
805127913434468736 -0.84000003 -1.61 -0.7
805127913511391872 -0.84000003 -1.61 -0.7
805127913588314880 -0.84000003 -1.61 -0.7
805127913665238016 -0.84000003 -1.61 -0.63
805127913742161024 -0.84000003 -1.61 -0.7
805127913819084160 -0.84000003 -1.61 -0.7
805127913896007168 -0.84000003 -1.61 -0.7
805127913972930304 -0.84000003 -1.61 -0.7
805127914049853312 -0.84000003 -1.61 -0.7
805127914126776448 -0.84000003 -1.61 -0.7
805127914203699456 -0.84000003 -1.61 -0.7
805127914280622592 -0.84000003 -1.61 -0.7
805127914357545728 -0.84000003 -1.54 -0.7
805127914434468736 -0.84000003 -1.54 -0.7
805127914511391872 -0.84000003 -1.61 -0.7
805127914588314880 -0.84000003 -1.61 -0.7
805127914665238016 -0.84000003 -1.54 -0.63
805127914742161024 -0.84000003 -1.54 -0.7
805127914819084160 -0.84000003 -1.61 -0.63
805127914896007168 -0.84000003 -1.54 -0.7
805127914972930304 -0.84000003 -1.61 -0.63
805127915049853312 -0.84000003 -1.61 -0.7
805127915126776448 -0.84000003 -1.61 -0.63
805127915203699456 -0.84000003 -1.61 -0.7
805127915280622592 -0.84000003 -1.61 -0.63
805127915357545728 -0.84000003 -1.61 -0.7
805127915434468736 -0.84000003 -1.61 -0.7
805127915511391872 -0.84000003 -1.61 -0.7
805127915588314880 -0.84000003 -1.61 -0.7
805127915665238016 -0.84000003 -1.61 -0.7
805127915742161024 -0.91 -1.61 -0.7
805127915819084160 -0.91 -1.61 -0.7
805127915896007168 -0.91 -1.6800001 -0.63
805127915972930304 -0.91 -1.61 -0.7
805127916049853312 -0.84000003 -1.61 -0.7
805127916126776448 -0.84000003 -1.61 -0.7
805127916203699456 -0.84000003 -1.61 -0.7
805127916280622592 -0.84000003 -1.61 -0.63
805127916357545728 -0.84000003 -1.61 -0.63
805127916434468736 -0.84000003 -1.61 -0.7
805127916511391872 -0.84000003 -1.61 -0.7
805127916588314880 -0.84000003 -1.61 -0.63
805127916665238016 -0.84000003 -1.61 -0.7
805127916742161024 -0.84000003 -1.61 -0.63
805127916819084160 -0.84000003 -1.61 -0.7
805127916896007168 -0.84000003 -1.61 -0.63
805127916972930304 -0.84000003 -1.61 -0.63
805127917049853312 -0.84000003 -1.61 -0.63
805127917126776448 -0.84000003 -1.61 -0.7
805127917203699456 -0.84000003 -1.61 -0.7
805127917280622592 -0.84000003 -1.61 -0.7
805127917357545728 -0.84000003 -1.61 -0.7
805127917434468736 -0.84000003 -1.61 -0.7
805127917511391872 -0.84000003 -1.54 -0.7
805127917588314880 -0.84000003 -1.54 -0.7
805127917665238016 -0.84000003 -1.61 -0.7
805127917742161024 -0.84000003 -1.61 -0.7
805127917819084160 -0.84000003 -1.61 -0.63
805127917896007168 -0.84000003 -1.61 -0.63
805127917972930304 -0.84000003 -1.4 3.15
805127918049853312 0.77 -1.12 48.02
805127918126776448 1.47 -1.12 60.48
805127918203699456 2.03 -0.56 78.33
