TIMESTAMP X(mg) Y(mg) Z(mg)
805125877986373504 -8 64 1005
805125878063296640 -4 62 1004
805125878140219648 -4 61 1005
805125878217142784 -6 64 1007
805125878294065792 -4 60 1002
805125878370988928 -6 64 1003
805125878447911936 -4 63 1004
805125878524835072 -7 60 1003
805125878601758080 -6 59 1005
805125878678681216 -6 59 1005
805125878755604224 -6 61 1002
805125878832527360 -6 61 1004
805125878909450368 -5 62 1003
805125878986373504 -5 61 1006
805125879063296640 -4 63 1005
805125879140219648 -5 60 1004
805125879217142784 -5 62 1004
805125879294065792 -6 62 1006
805125879370988928 -5 61 1003
805125879447911936 -4 61 1004
805125879524835072 -5 64 1004
805125879601758080 -6 62 1004
805125879678681216 -4 61 1002
805125879755604224 -6 61 1005
805125879832527360 -5 62 1003
805125879909450368 -5 62 1004
805125879986373504 -3 60 1007
805125880063296640 -5 61 1003
805125880140219648 -5 61 1005
805125880217142784 -6 64 1005
805125880294065792 -5 61 1004
805125880370988928 -5 63 1006
805125880447911936 -7 62 1003
805125880524835072 -4 61 1003
805125880601758080 -3 61 1004
805125880678681216 -6 62 1004
805125880755604224 -6 61 1005
805125880832527360 -8 64 1007
805125880909450368 -5 63 1004
805125880986373504 -6 63 1006
805125881063296640 -6 62 1004
805125881140219648 -6 60 1003
805125881217142784 -6 62 1004
805125881294065792 -6 61 1005
805125881370988928 -4 62 1006
805125881447911936 -7 62 1005
805125881524835072 -5 59 1004
805125881601758080 -5 62 1006
805125881678681216 -4 62 1005
805125881755604224 -7 63 1006
805125881832527360 -5 61 1006
805125881909450368 -5 64 1005
805125881986373504 -3 60 1005
805125882063296640 -7 62 1003
805125882140219648 -4 59 1003
805125882217142784 -5 62 1005
805125882294065792 -4 62 1003
805125882370988928 -5 64 1005
805125882447911936 -3 61 1005
805125882524835072 -7 62 1003
805125882601758080 -6 63 1004
805125882678681216 -5 64 1007
805125882755604224 -6 61 1005
805125882832527360 -7 62 1006
805125882909450368 -5 60 1005
805125882986373504 -7 63 1007
805125883063296640 -4 64 1003
805125883140219648 -5 62 1007
805125883217142784 -4 62 1006
805125883294065792 -6 62 1005
805125883370988928 -6 61 1003
805125883447911936 -5 61 1004
805125883524835072 -5 62 1006
805125883601758080 -5 64 1005
805125883678681216 -6 63 1005
805125883755604224 -4 63 1003
805125883832527360 -5 63 1004
805125883909450368 -7 62 1002
805125883986373504 -5 62 1004
805125884063296640 -4 61 1005
805125884140219648 -5 63 1003
805125884217142784 -4 63 1004
805125884294065792 -7 63 1003
805125884370988928 -3 62 1006
