TIMESTAMP X(deg/sec) Y(deg/sec) Z(deg/sec)
805125876947911936 -0.84000003 -1.61 -0.63
805125877024835072 -0.84000003 -1.61 -0.7
805125877101758080 -0.91 -1.61 -0.7
805125877178681216 -0.91 -1.61 -0.63
805125877255604224 -0.91 -1.61 -0.63
805125877332527360 -0.91 -1.54 -0.7
805125877409450368 -0.84000003 -1.61 -0.7
805125877486373504 -0.84000003 -1.61 -0.63
805125877563296512 -0.84000003 -1.61 -0.63
805125877640219648 -0.84000003 -1.61 -0.63
805125877717142656 -0.84000003 -1.61 -0.7
805125877794065792 -0.91 -1.61 -0.7
805125877870988800 -0.84000003 -1.54 -0.7
805125877947911936 -0.84000003 -1.61 -0.7
805125878024835072 -0.84000003 -1.61 -0.7
805125878101758080 -0.84000003 -1.61 -0.7
805125878178681216 -0.84000003 -1.61 -0.63
805125878255604224 -0.84000003 -1.6800001 -0.63
805125878332527360 -0.84000003 -1.6800001 -0.63
805125878409450368 -0.84000003 -1.61 -0.63
805125878486373504 -0.84000003 -1.61 -0.63
805125878563296512 -0.91 -1.6800001 -0.63
805125878640219648 -0.84000003 -1.61 -0.7
805125878717142656 -0.84000003 -1.61 -0.63
805125878794065792 -0.91 -1.61 -0.63
805125878870988800 -0.84000003 -1.61 -0.7
805125878947911936 -0.84000003 -1.61 -0.7
805125879024835072 -0.84000003 -1.61 -0.7
805125879101758080 -0.84000003 -1.61 -0.63
805125879178681216 -0.91 -1.61 -0.63
805125879255604224 -0.91 -1.61 -0.63
805125879332527360 -0.84000003 -1.54 -0.7
805125879409450368 -0.84000003 -1.61 -0.7
805125879486373504 -0.84000003 -1.61 -0.7
805125879563296512 -0.84000003 -1.61 -0.7
805125879640219648 -0.91 -1.61 -0.63
805125879717142656 -0.91 -1.61 -0.63
805125879794065792 -0.91 -1.61 -0.63
805125879870988800 -0.91 -1.61 -0.63
805125879947911936 -0.84000003 -1.61 -0.7
805125880024835072 -0.84000003 -1.61 -0.7
805125880101758080 -0.84000003 -1.61 -0.63
805125880178681216 -0.84000003 -1.61 -0.63
805125880255604224 -0.84000003 -1.61 -0.63
805125880332527360 -0.91 -1.61 -0.63
805125880409450368 -0.91 -1.61 -0.63
805125880486373504 -0.91 -1.61 -0.63
805125880563296512 -0.91 -1.61 -0.63
805125880640219648 -0.91 -1.61 -0.63
805125880717142656 -0.91 -1.61 -0.63
805125880794065792 -0.91 -1.61 -0.63
805125880870988800 -0.91 -1.61 -0.63
805125880947911936 -0.84000003 -1.61 -0.63
805125881024835072 -0.84000003 -1.61 -0.7
805125881101758080 -0.84000003 -1.61 -0.7
805125881178681216 -0.84000003 -1.61 -0.63
805125881255604224 -0.84000003 -1.61 -0.63
805125881332527360 -0.84000003 -1.6800001 -0.63
805125881409450368 -0.84000003 -1.61 -0.63
805125881486373504 -0.84000003 -1.61 -0.63
805125881563296512 -0.91 -1.61 -0.63
805125881640219648 -0.91 -1.54 -0.7
805125881717142656 -0.84000003 -1.61 -0.7
805125881794065792 -0.84000003 -1.61 -0.7
805125881870988800 -0.91 -1.61 -0.63
805125881947911936 -0.91 -1.61 -0.63
805125882024835072 -0.91 -1.61 -0.63
805125882101758080 -0.91 -1.61 -0.63
805125882178681216 -0.84000003 -1.61 -0.7
805125882255604224 -0.84000003 -1.61 -0.63
805125882332527360 -0.91 -1.61 -0.7
805125882409450368 -0.91 -1.61 -0.7
805125882486373504 -0.91 -1.61 -0.7
805125882563296512 -0.84000003 -1.54 -0.7
805125882640219648 -0.84000003 -1.61 -0.7
805125882717142656 -0.84000003 -1.61 -0.7
805125882794065792 -0.84000003 -1.61 -0.63
805125882870988800 -0.84000003 -1.61 -0.7
805125882947911936 -0.91 -1.54 -0.63
805125883024835072 -0.91 -1.61 -0.63
805125883101758080 -0.84000003 -1.61 -0.7
805125883178681216 -0.84000003 -1.61 -0.7
805125883255604224 -0.84000003 -1.61 -0.63
805125883332527360 -0.84000003 -1.61 -0.7
805125883409450368 -0.91 -1.61 -0.7
805125883486373504 -0.91 -1.54 -0.7
805125883563296512 -0.84000003 -1.54 -0.7
805125883640219648 -0.84000003 -1.54 -0.63
805125883717142656 -0.84000003 -1.61 -0.7
805125883794065792 -0.84000003 -1.61 -0.7
805125883870988800 -0.84000003 -1.61 -0.7
805125883947911936 -0.84000003 -1.61 -0.63
805125884024835072 -0.84000003 -1.61 -0.63
805125884101758080 -0.84000003 -1.61 -0.63
805125884178681216 -0.91 -1.61 -0.63
805125884255604224 -0.91 -1.61 -0.63
805125884332527360 -0.91 -1.61 -0.7
805125884409450368 -0.91 -1.61 -0.7
805125884486373504 -0.84000003 -1.61 -0.7
805125884563296512 -0.91 -1.54 -0.63
805125884640219648 -0.84000003 -1.61 -0.7
805125884717142656 -0.84000003 -1.54 -0.63
805125884794065792 -0.84000003 -1.61 -0.63
805125884870988800 -0.84000003 -1.61 -0.63
805125884947911936 -0.84000003 -1.61 -0.7
805125885024835072 -0.84000003 -1.61 -0.63
805125885101758080 -0.84000003 -1.61 -0.63
805125885178681216 -0.84000003 -1.61 -0.63
805125885255604224 -0.91 -1.61 -0.63
805125885332527360 -0.84000003 -1.61 -0.7
805125885409450368 -0.84000003 -1.61 -0.7
805125885486373504 -0.91 -1.54 -0.63
805125885563296512 -0.91 -1.61 -0.63
805125885640219648 -0.91 -1.61 -0.7
805125885717142656 -0.91 -1.61 -0.63
805125885794065792 -0.84000003 -1.61 -0.63
805125885870988800 -0.84000003 -1.61 -0.63
