TIMESTAMP X(Gauss) Y(Gauss) Z(Gauss)
805125881099848576 -1.362 -0.327 -0.3525
805125881199848576 -1.377 -0.3285 -0.3495
805125881299848576 -1.377 -0.3315 -0.3495
805125881399848576 -1.3695 -0.33 -0.3495
805125881499848576 -1.3695 -0.3225 -0.3465
805125881599848576 -1.371 -0.327 -0.3465
805125881699848576 -1.3725001 -0.33 -0.3465
805125881799848576 -1.371 -0.3285 -0.3465
805125881899848576 -1.368 -0.3225 -0.345
805125881999848576 -1.3695 -0.321 -0.351
805125882099848576 -1.374 -0.321 -0.3525
805125882199848576 -1.374 -0.315 -0.348
805125882299848576 -1.371 -0.3165 -0.348
805125882399848576 -1.3725001 -0.327 -0.3525
805125882499848576 -1.3725001 -0.3255 -0.3555
805125882599848576 -1.3695 -0.324 -0.3465
805125882699848576 -1.3695 -0.3255 -0.345
805125882799848576 -1.3695 -0.3285 -0.3465
805125882899848576 -1.374 -0.3285 -0.3465
805125882999848576 -1.3725001 -0.3285 -0.348
805125883099848576 -1.3755 -0.3285 -0.3465
805125883199848576 -1.3785 -0.324 -0.348
805125883299848576 -1.3725001 -0.324 -0.351
805125883399848576 -1.371 -0.327 -0.3495
805125883499848576 -1.3725001 -0.315 -0.348
805125883599848576 -1.3725001 -0.3105 -0.351
805125883699848576 -1.3725001 -0.3195 -0.3525
805125883799848576 -1.3695 -0.327 -0.351
805125883899848576 -1.368 -0.333 -0.354
805125883999848576 -1.3725001 -0.33 -0.351
805125884099848576 -1.3755 -0.3255 -0.3495
805125884199848576 -1.3725001 -0.3225 -0.3525
805125884299848576 -1.3695 -0.3225 -0.3495
805125884399848576 -1.371 -0.327 -0.3465
805125884499848576 -1.371 -0.3255 -0.351
805125884599848576 -1.368 -0.327 -0.354
805125884699848576 -1.368 -0.3225 -0.351
805125884799848576 -1.362 -0.321 -0.3495
805125884899848576 -1.365 -0.3255 -0.3495
805125884999848576 -1.377 -0.327 -0.3465
805125885099848576 -1.374 -0.3255 -0.345
805125885199848576 -1.371 -0.3255 -0.345
805125885299848576 -1.3605 -0.318 -0.345
805125885399848576 -1.3560001 -0.306 -0.348
805125885499848576 -1.368 -0.31350002 -0.3495
805125885599848576 -1.3725001 -0.324 -0.348
805125885699848576 -1.374 -0.3255 -0.3465
805125885799848576 -1.374 -0.3285 -0.348
805125885899848576 -1.3695 -0.321 -0.351
805125885999848576 -1.368 -0.3195 -0.351
805125886099848576 -1.371 -0.321 -0.351
805125886199848576 -1.371 -0.3225 -0.348
805125886299848576 -1.368 -0.3225 -0.345
805125886399848576 -1.371 -0.324 -0.345
805125886499848576 -1.3755 -0.327 -0.351
805125886599848576 -1.3725001 -0.3225 -0.3525
805125886699848576 -1.3695 -0.3225 -0.351
805125886799848576 -1.3725001 -0.324 -0.3465
805125886899848576 -1.3725001 -0.321 -0.345
805125886999848576 -1.3695 -0.3195 -0.3495
805125887099848576 -1.374 -0.324 -0.3525
805125887199848576 -1.3725001 -0.327 -0.354
805125887299848576 -1.3695 -0.327 -0.3585
805125887399848576 -1.374 -0.324 -0.3555
805125887499848576 -1.3695 -0.321 -0.351
805125887599848576 -1.3725001 -0.327 -0.3495
805125887699848576 -1.374 -0.3315 -0.3435
805125887799848576 -1.374 -0.3315 -0.345
805125887899848576 -1.368 -0.33 -0.3495
805125887999848576 -1.365 -0.3255 -0.348
805125888099848576 -1.3665 -0.3225 -0.3495
805125888199848576 -1.3605 -0.3105 -0.354
805125888299848576 -1.347 -0.2805 -0.3555
805125888399848576 -1.3035 -0.24000001 -0.348
805125888499848576 -1.233 -0.207 -0.345
805125888599848576 -1.1565 -0.189 -0.3495
805125888699848576 -1.098 -0.2025 -0.351
805125888799848576 -1.0665001 -0.2325 -0.348
805125888899848576 -1.0365 -0.2625 -0.3465
805125888999848576 -1.008 -0.303 -0.3465
805125889099848576 -0.99300003 -0.354 -0.345
805125889199848576 -0.9825 -0.405 -0.348
805125889299848576 -1.002 -0.465 -0.348
805125889399848576 -1.0365 -0.507 -0.345
805125889499848576 -1.05 -0.519 -0.3465
805125889599848576 -1.0575 -0.522 -0.3495
805125889699848576 -1.044 -0.5175 -0.354
805125889799848576 -1.0395 -0.5145 -0.3555
805125889899848576 -1.0755 -0.534 -0.3525
805125889999848576 -1.1385 -0.561 -0.351
805125890099848576 -1.218 -0.561 -0.3525
805125890199848576 -1.3005 -0.519 -0.354
805125890299848576 -1.3560001 -0.4605 -0.3525
805125890399848576 -1.3725001 -0.426 -0.351
805125890499848576 -1.3755 -0.4095 -0.3495
805125890599848576 -1.3785 -0.384 -0.348
805125890699848576 -1.3785 -0.3615 -0.351
805125890799848576 -1.3785 -0.342 -0.3525
805125890899848576 -1.377 -0.33 -0.354
805125890999848576 -1.3695 -0.3285 -0.357
805125891099848576 -1.368 -0.327 -0.354
805125891199848576 -1.3725001 -0.33 -0.348
805125891299848576 -1.3755 -0.333 -0.348
805125891399848576 -1.374 -0.327 -0.348
805125891499848576 -1.371 -0.3285 -0.3465
805125891599848576 -1.371 -0.3285 -0.348
805125891699848576 -1.3725001 -0.3315 -0.348
805125891799848576 -1.374 -0.3345 -0.3465
805125891899848576 -1.3755 -0.333 -0.3465
805125891999848576 -1.377 -0.3315 -0.3525
805125892099848576 -1.3755 -0.336 -0.354
805125892199848576 -1.362 -0.3255 -0.3495
805125892299848576 -1.3665 -0.3255 -0.3525
805125892399848536 -1.374 -0.33 -0.3525
805125892501533056 -1.374 -0.3255 -0.348
805125892603217536 -1.374 -0.3255 -0.3465
805125892704902016 -1.3545 -0.318 -0.3495
805125892806586624 -1.338 -0.306 -0.348
805125892908271104 -1.359 -0.3195 -0.345
805125893009955584 -1.374 -0.3165 -0.3465
805125893111640064 -1.3335 -0.2715 -0.3495
805125893213324672 -1.248 -0.2205 -0.348
805125893315009152 -1.1595 -0.1995 -0.3495
805125893416693632 -1.077 -0.2235 -0.351
805125893518378112 -1.0215 -0.279 -0.348
805125893620062720 -0.996 -0.336 -0.3525
805125893721747200 -0.987 -0.3825 -0.3525
805125893823431680 -0.9975 -0.4365 -0.348
805125893925116160 -1.014 -0.4935 -0.3495
805125894026800768 -1.08 -0.5445 -0.354
805125894128485248 -1.1985 -0.561 -0.3525
805125894230169728 -1.293 -0.537 -0.351
805125894331854208 -1.347 -0.486 -0.351
805125894433538816 -1.362 -0.4395 -0.351
805125894535223296 -1.368 -0.41550002 -0.351
805125894636907776 -1.3755 -0.3795 -0.3525
805125894738592256 -1.3785 -0.3495 -0.3555
805125894840276864 -1.374 -0.333 -0.3525
805125894941961344 -1.3665 -0.315 -0.3525
805125895043645824 -1.368 -0.30900002 -0.354
805125895145330304 -1.365 -0.31350002 -0.3465
805125895247014912 -1.3605 -0.31350002 -0.3435
805125895348699392 -1.365 -0.312 -0.348
805125895450383872 -1.359 -0.31350002 -0.3495
805125895552068352 -1.3605 -0.31350002 -0.351
805125895653752960 -1.3635 -0.315 -0.351
805125895755437440 -1.3635 -0.31350002 -0.3465
805125895857121920 -1.3665 -0.31350002 -0.348
805125895958806400 -1.3560001 -0.312 -0.3495
805125896060491008 -1.3545 -0.312 -0.3495
805125896162175488 -1.365 -0.31350002 -0.354
805125896263859968 -1.3605 -0.312 -0.3555
805125896365544448 -1.362 -0.31350002 -0.3495
805125896467229056 -1.3665 -0.312 -0.3495
805125896568913536 -1.3695 -0.31350002 -0.351
805125896670598016 -1.3665 -0.315 -0.3495
805125896772282496 -1.362 -0.318 -0.3465
805125896873967104 -1.365 -0.321 -0.3465
805125896975651584 -1.3635 -0.3165 -0.348
805125897077336064 -1.332 -0.2805 -0.3495
805125897179020544 -1.2615 -0.213 -0.348
805125897280705152 -1.167 -0.1935 -0.3465
805125897382389632 -1.0605 -0.2505 -0.3465
805125897484074112 -1.0065 -0.363 -0.351
805125897585758592 -1.029 -0.474 -0.351
805125897687443200 -1.077 -0.531 -0.348
805125897789127680 -1.0965 -0.549 -0.3465
805125897890812160 -1.116 -0.5595 -0.3465
805125897992496640 -1.173 -0.56700003 -0.3525
805125898094181248 -1.2375 -0.5535 -0.354
805125898195865728 -1.323 -0.47550002 -0.3555
805125898297550208 -1.353 -0.33 -0.3525
805125898399234688 -1.284 -0.22500001 -0.3495
805125898500919296 -1.2105 -0.1935 -0.348
805125898602603776 -1.1865 -0.186 -0.351
805125898704288256 -1.1955 -0.1905 -0.354
805125898805972736 -1.212 -0.201 -0.3495
805125898907657344 -1.2315 -0.2025 -0.3465
805125899009341824 -1.2525 -0.216 -0.345
805125899111026304 -1.293 -0.2385 -0.348
805125899212710784 -1.3365 -0.2745 -0.351
805125899314395392 -1.3545 -0.306 -0.351
805125899416079872 -1.3560001 -0.3165 -0.3525
805125899517764352 -1.3560001 -0.3165 -0.354
805125899619448832 -1.3575 -0.31350002 -0.354
805125899721133440 -1.3605 -0.31350002 -0.3525
805125899822817920 -1.3605 -0.312 -0.3495
805125899924502400 -1.3575 -0.312 -0.348
805125900026186880 -1.359 -0.312 -0.351
805125900127871488 -1.3545 -0.3165 -0.3495
805125900229555968 -1.3605 -0.3255 -0.3465
805125900331240448 -1.353 -0.3195 -0.3465
805125900432924928 -1.3515 -0.306 -0.3465
805125900534609536 -1.3695 -0.3045 -0.3465
805125900636294016 -1.3665 -0.31350002 -0.348
805125900737978496 -1.362 -0.324 -0.351
805125900839662976 -1.365 -0.3285 -0.3525
805125900941347584 -1.3695 -0.33 -0.3495
805125901043032064 -1.368 -0.3315 -0.3525
805125901144716544 -1.362 -0.3315 -0.3555
805125901246401024 -1.3635 -0.324 -0.351
805125901348085632 -1.368 -0.333 -0.351
805125901449770112 -1.371 -0.384 -0.3525
805125901551454592 -1.3575 -0.456 -0.351
805125901653139072 -1.2855 -0.525 -0.354
805125901754823680 -1.182 -0.5595 -0.3555
805125901856508160 -1.101 -0.5445 -0.3495
805125901958192640 -1.0365 -0.4905 -0.3525
805125902059877120 -1.005 -0.4095 -0.3525
805125902161561728 -1.02 -0.315 -0.351
805125902263246208 -1.0545 -0.2385 -0.351
805125902364930688 -1.0815 -0.2175 -0.3495
805125902466615200 -1.1205 -0.21000001 -0.3465
805125902568256256 -1.176 -0.201 -0.348
805125902669897344 -1.2405 -0.2145 -0.3465
805125902771538432 -1.2915 -0.2325 -0.3495
805125902873179648 -1.3125 -0.252 -0.354
805125902974820736 -1.335 -0.2805 -0.3525
805125903076461824 -1.3605 -0.315 -0.351
805125903178102912 -1.368 -0.33 -0.351
805125903279744128 -1.368 -0.336 -0.351
805125903381385216 -1.3665 -0.345 -0.351
805125903483026304 -1.3665 -0.3465 -0.351
805125903584667392 -1.3695 -0.348 -0.3525
805125903686308608 -1.3755 -0.348 -0.3495
805125903787949696 -1.371 -0.354 -0.3495
805125903889590784 -1.3665 -0.36900002 -0.3495
805125903991231872 -1.3665 -0.41550002 -0.3495
805125904092873088 -1.3365 -0.4815 -0.3525
805125904194514176 -1.2705001 -0.531 -0.354
805125904296155264 -1.2030001 -0.5565 -0.357
805125904397796352 -1.14 -0.5535 -0.3555
805125904499437440 -1.0785 -0.5295 -0.351
805125904601078656 -1.029 -0.4665 -0.348
805125904702719744 -1.002 -0.3855 -0.351
805125904804360832 -1.0125 -0.312 -0.3495
805125904906001920 -1.0515 -0.252 -0.348
805125905007643136 -1.104 -0.222 -0.3465
805125905109284224 -1.1595 -0.204 -0.3465
805125905210925312 -1.212 -0.204 -0.348
805125905312566400 -1.2540001 -0.216 -0.345
805125905414207616 -1.299 -0.246 -0.3465
805125905515848704 -1.3395001 -0.2895 -0.351
805125905617489792 -1.362 -0.318 -0.3495
805125905719130880 -1.368 -0.33 -0.351
805125905820772096 -1.3695 -0.3315 -0.351
805125905922413184 -1.3695 -0.3315 -0.3465
805125906024054272 -1.362 -0.333 -0.3495
805125906125695360 -1.3575 -0.336 -0.3555
805125906227336448 -1.362 -0.33900002 -0.3555
805125906328977664 -1.3665 -0.36 -0.354
805125906430618752 -1.368 -0.399 -0.354
805125906532259840 -1.3560001 -0.4485 -0.3525
805125906633900928 -1.326 -0.498 -0.3525
805125906735542144 -1.2705001 -0.5355 -0.354
805125906837183232 -1.194 -0.558 -0.3555
805125906938824320 -1.11 -0.549 -0.3525
805125907040465408 -1.0425 -0.49650002 -0.3495
805125907142106624 -1.0095 -0.4395 -0.348
805125907243747712 -0.999 -0.378 -0.3465
805125907345388800 -1.008 -0.3165 -0.348
805125907447029888 -1.0365 -0.27 -0.3465
805125907548671104 -1.0905 -0.228 -0.345
805125907650312192 -1.149 -0.207 -0.348
805125907751953280 -1.212 -0.204 -0.351
805125907853594368 -1.2825 -0.22500001 -0.3495
805125907955235584 -1.3305 -0.267 -0.3555
805125908056876672 -1.3515 -0.3015 -0.3525
805125908158517760 -1.3635 -0.3195 -0.3495
805125908260158848 -1.365 -0.3285 -0.351
805125908361799936 -1.3635 -0.3285 -0.351
805125908463441152 -1.365 -0.336 -0.354
805125908565082240 -1.3695 -0.348 -0.354
805125908666723328 -1.3755 -0.348 -0.3555
805125908768364416 -1.3695 -0.3375 -0.357
805125908870005632 -1.365 -0.33900002 -0.357
805125908971646720 -1.368 -0.3435 -0.3555
805125909073287808 -1.3455 -0.3375 -0.3555
805125909174928896 -1.332 -0.336 -0.3585
805125909276570112 -1.3545 -0.3345 -0.354
805125909378211200 -1.3635 -0.3375 -0.3495
805125909479852288 -1.3665 -0.3435 -0.3525
805125909581493376 -1.365 -0.3405 -0.3555
805125909683134592 -1.353 -0.3345 -0.354
805125909784775680 -1.3515 -0.3375 -0.354
805125909886416768 -1.359 -0.345 -0.354
805125909988057856 -1.3665 -0.345 -0.354
805125910089698944 -1.3665 -0.3405 -0.357
805125910191340160 -1.365 -0.336 -0.357
805125910292981248 -1.365 -0.3345 -0.354
805125910394622336 -1.3635 -0.342 -0.351
805125910496263424 -1.35 -0.33 -0.3525
805125910597904640 -1.3515 -0.33 -0.3525
805125910699545728 -1.3635 -0.345 -0.3525
805125910801186816 -1.362 -0.342 -0.357
805125910902828012 -1.365 -0.342 -0.357
