TIMESTAMP X(Gauss) Y(Gauss) Z(Gauss)
804351678616966272 -1.1415 -0.5805 -0.4575
804351678716966272 -1.14 -0.576 -0.4605
804351678816966272 -1.1505 -0.576 -0.459
804351678916966272 -1.1535 -0.5805 -0.456
804351679016966272 -1.1535 -0.5805 -0.453
804351679116966272 -1.155 -0.582 -0.45000002
804351679216966272 -1.149 -0.57 -0.453
804351679316966272 -1.1475 -0.573 -0.459
804351679416966272 -1.1505 -0.588 -0.459
804351679516966272 -1.146 -0.5835 -0.4575
804351679616966272 -1.149 -0.582 -0.459
804351679716966272 -1.1535 -0.585 -0.4575
804351679816966272 -1.1475 -0.5865 -0.453
804351679916966272 -1.143 -0.582 -0.453
804351680016966272 -1.155 -0.5805 -0.4545
804351680116966272 -1.155 -0.5835 -0.456
804351680216966272 -1.1535 -0.585 -0.4545
804351680316966272 -1.1535 -0.585 -0.456
804351680416966272 -1.152 -0.5775 -0.462
804351680516966272 -1.155 -0.579 -0.456
804351680616966272 -1.1535 -0.5835 -0.447
804351680716966272 -1.1475 -0.5805 -0.4515
804351680816966272 -1.152 -0.5805 -0.456
804351680916966272 -1.155 -0.5805 -0.4575
804351681016966272 -1.1535 -0.5835 -0.4545
804351681116966272 -1.152 -0.585 -0.4485
804351681216966272 -1.149 -0.579 -0.453
804351681316966272 -1.149 -0.5775 -0.459
804351681416966272 -1.1505 -0.5835 -0.456
804351681516966272 -1.152 -0.5865 -0.4545
804351681616966272 -1.1505 -0.5805 -0.453
804351681716966272 -1.149 -0.5775 -0.4485
804351681816966272 -1.155 -0.5805 -0.45000002
804351681916966272 -1.158 -0.585 -0.4545
804351682016966272 -1.155 -0.5865 -0.456
804351682116966272 -1.1595 -0.591 -0.459
804351682216966272 -1.1565 -0.5895 -0.459
804351682316966272 -1.155 -0.585 -0.4545
804351682416966272 -1.1565 -0.582 -0.453
804351682516966272 -1.1535 -0.5835 -0.4545
804351682616966272 -1.1385 -0.579 -0.456
804351682716966272 -1.14 -0.579 -0.453
804351682816966272 -1.155 -0.5865 -0.453
804351682916966272 -1.1535 -0.588 -0.453
804351683016966272 -1.1505 -0.5835 -0.453
804351683116966272 -1.1505 -0.585 -0.453
804351683216966272 -1.155 -0.591 -0.4515
804351683316966272 -1.1505 -0.5865 -0.453
804351683416966272 -1.149 -0.582 -0.459
804351683516966272 -1.152 -0.57 -0.459
