TIMESTAMP X(Gauss) Y(Gauss) Z(Gauss)
806190800037068032 -1.2405 -0.348 -0.7365
806190800137068032 -1.233 -0.3495 -0.73800004
806190800237068032 -1.239 -0.348 -0.7335
806190800337068032 -1.2555 -0.3465 -0.72900003
806190800437068032 -1.257 -0.351 -0.7305
806190800537068032 -1.257 -0.357 -0.732
806190800637068032 -1.257 -0.3555 -0.732
806190800737068032 -1.257 -0.3555 -0.72900003
806190800837068032 -1.257 -0.357 -0.72900003
806190800937068032 -1.2555 -0.3555 -0.7305
806190801037068032 -1.2585 -0.351 -0.7335
806190801137068032 -1.2555 -0.351 -0.7335
806190801237068032 -1.2495 -0.354 -0.7275
806190801337068032 -1.2555 -0.3555 -0.72900003
806190801437068032 -1.2585 -0.357 -0.7275
806190801537068032 -1.2585 -0.357 -0.726
806190801637068032 -1.257 -0.3555 -0.732
806190801737068032 -1.2555 -0.3555 -0.732
806190801837068032 -1.26 -0.3555 -0.72900003
806190801937068032 -1.26 -0.354 -0.732
806190802037068032 -1.257 -0.354 -0.7305
806190802137068032 -1.2555 -0.357 -0.726
806190802237068032 -1.257 -0.363 -0.72900003
806190802337068032 -1.2645 -0.3615 -0.7305
806190802437068032 -1.263 -0.351 -0.72900003
806190802537068032 -1.2555 -0.348 -0.72900003
806190802637068032 -1.2555 -0.3525 -0.7305
806190802737068032 -1.2585 -0.3555 -0.72900003
806190802837068032 -1.257 -0.3465 -0.72900003
806190802937068032 -1.2435 -0.345 -0.732
806190803037068032 -1.2465 -0.3465 -0.735
806190803137068032 -1.263 -0.342 -0.735
806190803237068032 -1.263 -0.3405 -0.732
806190803337068032 -1.263 -0.3435 -0.732
806190803437068032 -1.26 -0.3435 -0.735
806190803537068032 -1.251 -0.3405 -0.7365
806190803637068032 -1.2555 -0.336 -0.735
806190803737068032 -1.2615 -0.333 -0.732
806190803837068032 -1.26 -0.333 -0.7305
806190803937068032 -1.26 -0.3345 -0.7335
806190804037068032 -1.257 -0.3345 -0.732
806190804137068032 -1.257 -0.3315 -0.732
806190804237068032 -1.239 -0.315 -0.732
806190804337068032 -1.2435 -0.318 -0.732
806190804437068032 -1.275 -0.3315 -0.7305
806190804537068032 -1.2945 -0.3255 -0.735
806190804637068032 -1.3125 -0.303 -0.744
806190804737068032 -1.3185 -0.2715 -0.744
806190804837068032 -1.326 -0.249 -0.7395
806190804937068032 -1.3335 -0.22500001 -0.7425
806190805037068032 -1.3245 -0.19500001 -0.747
806190805137068032 -1.308 -0.16950001 -0.747
806190805237068032 -1.2855 -0.147 -0.7515
806190805337068032 -1.2525 -0.1335 -0.75
806190805437068032 -1.2 -0.141 -0.744
806190805537068032 -1.146 -0.1725 -0.7455
806190805637068032 -1.1175001 -0.2115 -0.7485
806190805737068032 -1.116 -0.2535 -0.7515
806190805837068032 -1.128 -0.285 -0.753
806190805937068032 -1.1355 -0.2985 -0.7515
806190806037068032 -1.1445 -0.312 -0.7515
806190806137068032 -1.1625 -0.324 -0.753
806190806237068032 -1.1925 -0.336 -0.75450003
806190806337068032 -1.2255 -0.3435 -0.753
806190806437068032 -1.2435 -0.3405 -0.7515
806190806537068032 -1.26 -0.33 -0.753
806190806637068032 -1.2870001 -0.31350002 -0.759
806190806737068032 -1.314 -0.2985 -0.76350003
806190806837068032 -1.329 -0.2655 -0.765
806190806937068032 -1.3335 -0.2265 -0.7725
806190807037068032 -1.332 -0.186 -0.771
806190807137068032 -1.3065 -0.147 -0.756
806190807237068032 -1.2615 -0.126 -0.73800004
806190807337068032 -1.215 -0.1245 -0.7335
806190807437068032 -1.176 -0.138 -0.7275
806190807537068032 -1.131 -0.156 -0.7155
806190807637068032 -1.1175001 -0.1785 -0.7155
806190807737068032 -1.137 -0.183 -0.717
806190807837068032 -1.1340001 -0.1815 -0.7215
806190807937068032 -1.1235 -0.2055 -0.72900003
806190808037068032 -1.1145 -0.228 -0.7305
806190808137068032 -1.119 -0.2505 -0.726
806190808237068032 -1.1385 -0.2925 -0.7275
806190808337068032 -1.1655 -0.3285 -0.72900003
806190808437068032 -1.2045 -0.3465 -0.7275
806190808537068032 -1.248 -0.345 -0.7275
806190808637068032 -1.281 -0.333 -0.726
806190808737068032 -1.3050001 -0.3105 -0.7275
806190808837068032 -1.317 -0.2745 -0.7305
806190808937068032 -1.3275 -0.23550001 -0.732
806190809037068032 -1.3335 -0.1995 -0.7305
806190809137068032 -1.3095 -0.168 -0.73800004
806190809237068032 -1.272 -0.138 -0.7395
806190809337068032 -1.224 -0.126 -0.735
806190809437068032 -1.1715 -0.1395 -0.7365
806190809537068032 -1.14 -0.1635 -0.73800004
806190809637068032 -1.1235 -0.19500001 -0.73800004
806190809737068032 -1.122 -0.2325 -0.732
806190809837068032 -1.122 -0.255 -0.7275
806190809937068032 -1.116 -0.2565 -0.72900003
806190810037068032 -1.1145 -0.252 -0.726
806190810137068032 -1.122 -0.264 -0.723
806190810237068032 -1.1295 -0.291 -0.726
806190810337068032 -1.152 -0.3165 -0.7275
806190810437068032 -1.1850001 -0.336 -0.7305
806190810537068032 -1.209 -0.3435 -0.732
806190810637068032 -1.2225 -0.3435 -0.7335
806190810737068032 -1.2375 -0.3435 -0.72900003
806190810837068032 -1.2645 -0.33900002 -0.7275
806190810937068032 -1.284 -0.3315 -0.73800004
806190811037068032 -1.299 -0.3195 -0.735
806190811137068058 -1.3095 -0.303 -0.7275
806190811238774272 -1.314 -0.28350002 -0.7305
806190811340480512 -1.329 -0.252 -0.73800004
806190811442186752 -1.341 -0.2145 -0.73800004
806190811543892992 -1.338 -0.2025 -0.735
