TIMESTAMP X(mg) Y(mg) Z(mg)
804353354983665152 -1 55 1015
804353355002895872 -6 57 1015
804353355022126720 -4 55 1015
804353355041357440 -4 55 1014
804353355060588288 -4 55 1012
804353355079819008 -6 54 1012
804353355099049728 -3 58 1014
804353355118280576 -2 57 1013
804353355137511296 0 54 1017
804353355156742016 -5 56 1013
804353355175972864 -3 54 1014
804353355195203584 -4 57 1014
804353355214434432 -5 57 1012
804353355233665152 -8 56 1015
804353355252895872 -7 54 1011
804353355272126720 -6 55 1014
804353355291357440 -6 54 1016
804353355310588288 -6 56 1015
804353355329819008 -5 54 1016
804353355349049728 -8 53 1014
804353355368280576 -6 51 1011
804353355387511296 -3 53 1016
804353355406742016 -5 57 1017
804353355425972864 -3 52 1014
804353355445203584 -5 57 1015
804353355464434432 -1 54 1013
804353355483665152 -4 57 1011
804353355502895872 -3 57 1014
804353355522126720 -4 54 1015
804353355541357440 -5 57 1013
804353355560588288 -3 58 1013
804353355579819008 -5 56 1009
804353355599049728 -3 56 1008
804353355618280576 -7 54 1011
804353355637511296 -4 52 1014
804353355656742016 -5 58 1011
804353355675972864 -5 55 1013
804353355695203584 -2 51 1015
804353355714434432 -3 53 1009
804353355733665152 -4 52 1014
804353355752895872 -10 55 1012
804353355772126720 -1 55 1012
804353355791357440 -3 56 1015
804353355810588288 -3 54 1011
804353355829819008 -6 57 1017
804353355849049728 -6 56 1014
804353355868280576 -7 52 1015
804353355887511296 -1 56 1012
804353355906742016 -4 54 1012
804353355925972864 -4 57 1013
804353355945203584 0 52 1012
804353355964434432 -2 54 1013
804353355983665152 -5 54 1015
804353356002895872 -5 57 1012
804353356022126720 -3 53 1014
804353356041357440 -5 54 1012
804353356060588288 -6 54 1010
804353356079819008 -6 54 1017
804353356099049728 -5 56 1019
804353356118280576 -2 53 1011
804353356137511296 -4 54 1012
804353356156742016 -7 56 1020
804353356175972864 -6 54 1015
804353356195203584 -3 56 1011
804353356214434432 -4 55 1009
804353356233665152 -1 57 1017
804353356252895872 -2 53 1014
804353356272126720 -4 53 1017
804353356291357440 -8 51 1014
804353356310588288 -3 55 1013
804353356329819008 -7 54 1016
804353356349049728 -5 51 1011
804353356368280576 -6 52 1015
804353356387511296 -4 57 1014
804353356406742016 -4 58 1014
804353356425972864 -4 53 1012
804353356445203584 -4 57 1014
804353356464434432 -4 57 1014
804353356483665152 -8 55 1012
804353356502895872 -3 56 1009
804353356522126720 -7 58 1015
804353356541357440 -6 53 1011
804353356560588288 -5 51 1010
804353356579819008 -5 52 1011
804353356599049728 -4 54 1011
804353356618280576 -4 56 1014
804353356637511296 -3 54 1013
804353356656742016 -7 56 1013
804353356675972864 -4 53 1012
804353356695203584 -7 54 1012
804353356714434432 -2 56 1015
804353356733665152 -6 57 1012
804353356752895872 -4 50 1015
804353356772126720 -3 53 1014
804353356791357440 0 56 1011
804353356810588288 -5 52 1015
804353356829819008 -2 53 1014
804353356849049728 -4 54 1013
804353356868280576 -4 54 1013
804353356887511296 -4 59 1013
804353356906742016 -4 55 1014
804353356925972864 -3 53 1012
804353356945203584 -6 52 1013
804353356964434432 -2 53 1011
804353356983665152 -6 53 1012
804353357002895872 -1 58 1007
804353357022126720 -3 55 1017
804353357041357440 -3 56 1015
804353357060588288 -4 55 1018
804353357079819008 -8 57 1016
804353357099049728 -3 53 1013
804353357118280576 -7 54 1014
804353357137511296 -6 55 1015
804353357156742016 -8 59 1015
804353357175972864 0 54 1012
804353357195203584 -4 52 1009
804353357214434432 -5 54 1010
804353357233665152 -6 55 1012
804353357252895872 -5 56 1015
804353357272126720 -2 55 1012
804353357291357440 -7 55 1015
804353357310588288 -2 51 1012
804353357329819008 -5 55 1013
804353357349049728 -5 52 1013
804353357368280576 -4 56 1011
804353357387511296 -2 54 1014
804353357406742016 -6 53 1009
804353357425972864 -4 54 1012
804353357445203584 -3 56 1015
804353357464434432 -3 56 1016
804353357483665152 -4 54 1014
804353357502895872 -5 55 1013
804353357522126720 -5 50 1017
804353357541357440 -5 58 1014
804353357560588316 -4 50 1011
804353357579829504 -2 49 1013
804353357599070720 -7 57 1013
804353357618311936 -6 53 1017
804353357637553152 -1 56 1014
804353357656794368 -4 54 1014
804353357676035584 -7 63 1011
804353357695276672 0 54 1008
804353357714517888 -3 54 1010
804353357733759104 -3 50 1010
804353357753000320 -5 55 1014
804353357772241536 -5 58 1013
804353357791482752 -7 53 1014
804353357810723968 -4 53 1013
804353357829965184 -4 54 1013
804353357849206400 -2 57 1013
804353357868447616 -4 53 1010
804353357887688704 -2 55 1012
804353357906929920 -5 52 1014
804353357926171136 -5 55 1013
804353357945412352 -5 58 1010
804353357964653568 -6 53 1013
804353357983894784 -2 55 1015
804353358003136000 -6 55 1014
804353358022377216 -4 58 1015
804353358041618432 -5 53 1012
804353358060859648 -5 54 1012
804353358080100736 -8 54 1010
804353358099341952 -2 52 1011
804353358118583168 -9 50 1013
804353358137824384 -6 55 1008
804353358157065600 -4 54 1015
804353358176306816 -4 58 1014
804353358195548032 -7 55 1008
804353358214789248 -2 58 1015
804353358234030464 -4 56 1012
804353358253271680 -3 55 1012
804353358272512768 -3 56 1011
804353358291753984 -5 54 1012
804353358310995200 -3 55 1013
804353358330236416 -3 52 1008
804353358349477632 -6 54 1015
804353358368718848 -2 53 1012
804353358387960064 -4 51 1009
804353358407201280 -5 53 1012
804353358426442496 -5 58 1014
804353358445683712 -6 54 1012
804353358464924800 -4 57 1015
804353358484166016 -5 52 1016
804353358503407232 -6 56 1013
804353358522648448 -6 55 1013
804353358541889664 -4 54 1018
804353358561130880 -6 58 1015
804353358580372096 -3 56 1012
804353358599613312 -5 54 1013
804353358618854528 -7 54 1016
804353358638095744 -4 54 1014
804353358657336960 -4 59 1013
804353358676578048 -8 58 1012
804353358695819264 -7 54 1010
804353358715060480 -12 54 1014
804353358734301696 -5 54 1014
804353358753542912 -4 55 1019
804353358772784128 -2 55 1014
804353358792025344 -3 54 1015
804353358811266560 -5 57 1015
804353358830507776 -5 54 1014
804353358849748992 -5 53 1009
804353358868990080 -4 52 1010
804353358888231296 1 55 1010
804353358907472512 -6 55 1011
804353358926713728 -9 53 1009
804353358945954944 -1 57 1006
804353358965196160 -7 50 1011
804353358984437376 -5 52 1007
804353359003678592 -2 54 1009
804353359022919808 -5 52 1008
804353359042161024 -2 54 1004
804353359061402112 -2 57 1011
804353359080643328 -4 51 1005
804353359099884544 -2 54 1006
804353359119125760 -3 55 1007
804353359138366976 -4 54 1006
804353359157608192 -6 52 1008
804353359176849408 -4 53 1002
804353359196090624 -2 51 1008
804353359215331840 -4 55 1008
804353359234573056 -4 55 1007
804353359253814144 -5 56 1005
804353359273055360 -5 53 1006
804353359292296576 -7 55 1010
804353359311537792 -7 58 1007
804353359330779008 -4 51 1007
804353359350020224 -6 54 1007
804353359369261440 -9 54 1005
804353359388502656 -4 55 1005
804353359407743872 -2 54 1004
804353359426985088 -5 50 1008
804353359446226176 -3 55 1008
804353359465467392 -3 57 1006
804353359484708608 -2 57 1007
804353359503949824 -4 57 1005
804353359523191040 -4 54 1005
804353359542432256 -5 53 1009
804353359561673472 -3 56 1006
804353359580914688 -4 54 1006
804353359600155904 -1 55 1006
804353359619397120 -4 53 1005
804353359638638208 -4 57 1001
804353359657879424 -2 54 1009
804353359677120640 -6 58 1004
804353359696361856 -9 56 1008
804353359715603072 -6 56 1002
804353359734844288 -6 59 1008
804353359754085504 -5 51 1009
804353359773326720 -6 52 1006
804353359792567936 -1 52 1006
804353359811809152 -5 53 1007
804353359831050368 -1 54 1012
804353359850291456 -1 58 1007
804353359869532672 -4 51 1004
804353359888773888 -5 51 1002
804353359908015104 -1 57 1002
804353359927256320 -5 52 1001
804353359946497536 -4 56 1003
804353359965738752 -4 53 1007
804353359984979968 -1 55 1006
804353360004221184 -1 57 1005
804353360023462400 -2 54 1009
804353360042703488 -7 56 1006
804353360061944704 -3 56 1007
804353360081185920 -6 53 1004
804353360100427136 -3 52 1003
804353360119668352 -3 53 1003
804353360138909568 -6 54 1005
804353360158150780 -4 48 1002
804353360177236224 -4 58 1006
804353360196321664 -5 55 1003
804353360215406976 -5 55 1004
804353360234492416 -4 55 1004
804353360253577728 -7 60 1007
804353360272663168 -6 56 1007
804353360291748480 -5 57 1011
804353360310833920 -6 53 1005
804353360329919232 -3 54 1009
804353360349004672 -3 51 1008
804353360368090112 -5 54 1001
804353360387175424 -3 52 1009
804353360406260864 -5 56 1007
804353360425346176 -4 55 1004
804353360444431616 -2 52 1005
804353360463516928 -10 55 1006
804353360482602368 -5 57 1009
804353360501687808 -7 50 1007
804353360520773120 -6 57 1003
804353360539858560 -2 51 1005
804353360558943872 -4 56 1003
804353360578029312 -5 51 1006
804353360597114624 -4 55 1009
804353360616200064 0 53 1006
804353360635285376 -6 57 1005
804353360654370816 -3 54 1003
804353360673456256 -5 52 1004
804353360692541568 -1 57 1004
804353360711627008 -4 56 1005
804353360730712320 -5 53 1004
804353360749797760 -5 58 1005
804353360768883072 -4 56 1005
804353360787968512 -6 56 1003
804353360807053824 -2 53 1004
804353360826139264 -5 56 1007
804353360845224704 -6 54 1007
804353360864310016 -8 54 1004
804353360883395456 -3 57 1004
804353360902480768 -6 55 1008
804353360921566208 -7 55 1005
804353360940651520 -6 53 1002
804353360959736960 -7 57 1001
804353360978822272 -5 55 1004
804353360997907712 -2 57 1004
804353361016993152 -5 54 1007
804353361036078464 -5 53 1006
804353361055163904 -6 58 1002
804353361074249216 2 56 999
804353361093334656 -3 54 1009
804353361112419968 -2 54 1002
804353361131505408 -3 61 1002
804353361150590848 -2 54 1005
804353361169676160 -4 57 1004
804353361188761600 -3 52 1005
804353361207846912 -4 54 1004
804353361226932352 -2 51 1003
804353361246017664 -6 54 1003
804353361265103104 -5 57 1005
804353361284188416 -4 56 1005
804353361303273856 -3 55 1007
804353361322359296 -4 57 1005
804353361341444608 -4 56 1004
804353361360530048 -5 56 1004
804353361379615360 -6 56 1003
804353361398700800 -3 55 1009
804353361417786112 -2 56 1007
804353361436871552 -5 53 1006
804353361455956864 -7 54 1005
804353361475042304 -5 55 1005
804353361494127744 -7 58 1006
804353361513213056 -7 58 1006
804353361532298496 -5 53 1006
804353361551383808 -5 58 1006
804353361570469248 -2 52 1003
804353361589554560 -2 55 1005
804353361608640000 -1 58 1005
804353361627725440 -1 57 1002
804353361646810752 -3 50 1005
804353361665896192 -3 58 1006
804353361684981504 -10 57 1006
804353361704066944 -4 53 1006
804353361723152256 -3 54 1007
804353361742237696 -4 53 1004
804353361761323008 -4 53 1007
804353361780408448 -6 55 1006
804353361799493888 -2 53 1003
804353361818579200 -2 56 1004
804353361837664640 -3 49 1007
804353361856749952 -4 55 1004
804353361875835392 -4 55 1005
804353361894920704 -4 55 1003
804353361914006144 -4 58 1006
804353361933091456 -4 55 1006
804353361952176896 -2 57 1004
804353361971262336 -6 56 1006
804353361990347648 0 57 1006
804353362009433088 -5 57 1005
804353362028518400 -4 51 1001
804353362047603840 -3 55 1007
804353362066689152 -5 53 1006
804353362085774592 -7 56 1000
804353362104860032 -4 52 1005
804353362123945344 -7 53 1002
804353362143030784 -4 55 1004
804353362162116096 -5 55 1005
804353362181201536 -2 58 1007
804353362200286848 -6 57 1003
804353362219372288 -3 53 1007
804353362238457600 -3 56 1007
804353362257543040 -4 55 1006
804353362276628480 -5 53 1003
804353362295713792 -5 56 1006
804353362314799232 -5 51 1004
804353362333884544 0 55 1006
804353362352969984 -5 54 1005
804353362372055296 -5 54 1005
804353362391140736 -6 55 1007
804353362410226048 -5 54 1003
804353362429311488 -5 57 1003
804353362448396928 -7 56 1000
804353362467482240 -3 55 1007
804353362486567680 -6 55 1004
804353362505652992 -2 58 1004
804353362524738432 -4 56 1006
804353362543823744 -2 58 1002
804353362562909184 -3 54 1004
804353362581994496 -3 57 1006
804353362601079936 -5 55 1004
804353362620165376 -5 51 1007
804353362639250688 -4 57 1009
804353362658336128 -1 53 1005
804353362677421440 -3 54 1006
804353362696506880 -5 54 1005
804353362715592192 -4 57 1008
804353362734677632 -3 59 1006
804353362753763072 -6 54 1005
804353362772848384 -3 53 1005
804353362791933824 -5 57 1005
804353362811019136 -3 55 1004
804353362830104576 -3 55 1004
804353362849189869 -5 56 1003
804353362868275328 0 53 1010
804353362887360768 -5 53 1004
804353362906446336 -2 55 1007
804353362925531776 -2 55 1002
804353362944617216 -7 52 1002
804353362963702656 -1 55 1002
804353362982788224 -4 57 1005
804353363001873664 -3 57 1001
804353363020959104 -5 53 1004
804353363040044672 -1 55 1002
804353363059130112 -5 53 1006
804353363078215552 -4 55 1002
804353363097300992 -6 54 1004
804353363116386560 -4 55 1006
804353363135472000 -2 56 1008
804353363154557440 -2 53 1003
804353363173642880 -4 53 1005
804353363192728448 -3 55 1006
804353363211813888 -9 52 1002
804353363230899328 -3 59 1006
804353363249984896 -5 56 1005
804353363269070336 -3 53 1002
804353363288155776 -4 53 1004
804353363307241216 -1 52 1004
804353363326326784 -5 56 1003
804353363345412224 -4 57 1003
804353363364497664 -6 56 1002
804353363383583232 -3 54 1006
804353363402668672 -6 56 1003
804353363421754112 -7 54 1005
804353363440839552 -3 52 1003
804353363459925120 -7 57 1007
804353363479010560 -2 56 1007
804353363498096000 -6 54 1005
804353363517181568 -6 55 1007
804353363536267008 -2 54 1004
804353363555352448 -5 52 1006
804353363574437888 -2 52 1002
804353363593523456 -6 55 1005
804353363612608896 -4 57 1008
804353363631694336 -7 56 1002
804353363650779904 -6 55 1006
804353363669865344 -5 55 1005
804353363688950784 -5 56 1006
804353363708036224 -5 52 1008
804353363727121792 -5 50 1004
804353363746207232 -5 56 1006
804353363765292672 -4 51 1004
804353363784378112 -5 55 1008
804353363803463680 -4 53 1005
804353363822549120 -2 53 1006
804353363841634560 -5 55 1004
804353363860720128 -5 57 1002
804353363879805568 -2 56 1000
804353363898891008 -3 55 1009
804353363917976448 -3 52 1005
804353363937062016 -5 54 1007
804353363956147456 -5 54 1004
804353363975232896 -7 53 1003
804353363994318464 -4 55 1003
804353364013403904 -3 58 1004
804353364032489344 -4 55 1003
804353364051574784 -3 53 1004
804353364070660352 -1 51 1008
804353364089745792 -4 55 1005
804353364108831232 -4 52 1004
804353364127916800 -6 56 1002
804353364147002240 -7 55 1006
804353364166087680 -4 56 1006
804353364185173120 -2 54 1003
804353364204258688 -5 58 1007
804353364223344128 -2 54 1004
804353364242429568 -3 52 1005
804353364261515008 -5 53 1003
804353364280600576 -2 57 1003
804353364299686016 -7 55 1005
804353364318771456 -6 54 1003
804353364337857024 -5 55 1005
804353364356942464 -3 56 1005
804353364376027904 -6 54 1003
804353364395113344 -5 57 1005
804353364414198912 -3 57 1002
804353364433284352 -3 56 1008
804353364452369792 -2 52 1006
804353364471455360 -6 57 1005
804353364490540800 -4 55 1004
804353364509626240 -4 54 1004
804353364528711680 -3 55 1008
804353364547797248 -3 56 1005
804353364566882688 0 57 1006
804353364585968128 -4 55 1001
804353364605053696 -7 54 1005
804353364624139136 -3 54 1003
804353364643224576 -4 58 1004
804353364662310016 -2 54 1008
804353364681395584 -4 55 1007
804353364700481024 -2 57 1006
804353364719566464 -6 55 1001
804353364738651904 -5 55 1007
804353364757737472 -7 55 1007
804353364776822912 -4 56 1007
804353364795908352 -6 56 1004
804353364814993920 -6 57 1005
804353364834079360 -2 56 1005
804353364853164800 -5 53 1004
804353364872250240 -5 54 1003
804353364891335808 1 55 1001
804353364910421248 -3 57 1007
804353364929506688 -3 59 1002
804353364948592256 -6 57 1005
804353364967677696 -6 54 1008
804353364986763136 -4 54 1006
804353365005848576 -6 51 1005
804353365024934144 -2 56 1006
804353365044019584 -6 56 1006
804353365063105024 -2 56 1006
804353365082190592 -6 56 1001
804353365101276032 -1 52 1007
804353365120361472 -7 55 1006
804353365139446912 -5 53 1006
804353365158532480 -2 57 1002
804353365177617920 -6 57 1009
804353365196703360 -4 56 1003
804353365215788928 0 57 1003
804353365234874368 -3 53 1002
804353365253959808 -3 54 1006
804353365273045248 -1 54 1002
804353365292130816 -3 53 1001
804353365311216256 -2 59 1005
804353365330301696 -8 56 1004
804353365349387136 -2 56 1008
804353365368472704 -7 55 1004
804353365387558144 -1 55 1004
804353365406643584 -9 56 1006
804353365425729152 -3 53 1006
804353365444814592 -3 55 1000
804353365463900032 -5 54 1005
804353365482985472 -1 59 1006
804353365502071040 -3 55 1006
804353365521156480 -5 50 1009
804353365540241920 -6 58 1006
804353365559327488 -5 57 1003
804353365578412928 -6 53 1007
804353365597498368 -5 58 1001
804353365616583808 -6 53 1003
804353365635669376 -5 53 1003
804353365654754816 -5 57 1007
804353365673840256 -2 53 1003
804353365692925780 -6 55 1000
804353365712010624 -4 52 1007
804353365731095424 -2 53 1004
804353365750180096 -4 53 1007
804353365769264896 -5 52 1008
804353365788349696 -5 56 1003
804353365807434368 -2 56 1004
804353365826519168 -6 53 1006
804353365845603968 -3 53 1004
804353365864688640 -5 54 1006
804353365883773440 -3 53 1002
804353365902858240 -5 54 1006
804353365921942912 -4 55 1003
804353365941027712 -1 54 1004
804353365960112512 -6 52 1003
804353365979197184 -1 54 1007
804353365998281984 -3 54 1006
804353366017366656 -5 52 1005
804353366036451456 -1 56 1005
804353366055536256 -2 58 1007
804353366074620928 -2 57 1006
804353366093705728 -2 52 997
804353366112790528 -5 55 1003
804353366131875200 -3 56 1006
804353366150960000 -4 50 1004
804353366170044800 -2 57 1004
804353366189129472 -5 53 1006
804353366208214272 -6 54 1004
804353366227299072 -4 53 1004
804353366246383744 -5 56 1007
804353366265468544 -4 61 1002
804353366284553344 -2 49 1003
804353366303638016 -3 57 1005
804353366322722816 -6 58 1006
804353366341807616 0 52 1006
804353366360892288 -7 50 1003
