TIMESTAMP X(deg/sec) Y(deg/sec) Z(deg/sec)
804353359189220480 -0.84000003 -1.61 -0.63
804353359208451200 -0.84000003 -1.61 -0.7
804353359227682048 -0.91 -1.61 -0.63
804353359246912768 -0.91 -1.61 -0.7
804353359266143616 -0.84000003 -1.54 -0.7
804353359285374336 -0.91 -1.61 -0.63
804353359304605056 -0.91 -1.61 -0.7
804353359323835904 -0.84000003 -1.54 -0.7
804353359343066624 -0.84000003 -1.61 -0.7
804353359362297344 -0.91 -1.61 -0.7
804353359381528192 -0.84000003 -1.61 -0.7
804353359400758912 -0.84000003 -1.61 -0.63
804353359419989760 -0.91 -1.61 -0.7
804353359439220480 -0.84000003 -1.54 -0.7
804353359458451200 -0.84000003 -1.54 -0.7
804353359477682048 -0.91 -1.54 -0.7
804353359496912768 -0.91 -1.61 -0.7
804353359516143616 -0.84000003 -1.54 -0.7
804353359535374336 -0.84000003 -1.61 -0.63
804353359554605056 -0.91 -1.61 -0.63
804353359573835904 -0.84000003 -1.54 -0.7
804353359593066624 -0.84000003 -1.61 -0.7
804353359612297344 -0.91 -1.61 -0.63
804353359631528192 -0.91 -1.61 -0.7
804353359650758912 -0.84000003 -1.54 -0.7
804353359669989760 -0.84000003 -1.61 -0.7
804353359689220480 -0.84000003 -1.61 -0.7
804353359708451200 -0.84000003 -1.61 -0.7
804353359727682048 -0.84000003 -1.61 -0.63
804353359746912768 -0.84000003 -1.61 -0.7
804353359766143616 -0.91 -1.61 -0.7
804353359785374336 -0.84000003 -1.54 -0.7
804353359804605056 -0.91 -1.61 -0.7
804353359823835904 -0.91 -1.54 -0.7
804353359843066624 -0.84000003 -1.54 -0.7
804353359862297344 -0.84000003 -1.54 -0.7
804353359881528192 -0.84000003 -1.54 -0.7
804353359900758912 -0.84000003 -1.61 -0.7
804353359919989760 -0.91 -1.61 -0.7
804353359939220480 -0.91 -1.61 -0.7
804353359958451200 -0.84000003 -1.61 -0.7
804353359977682048 -0.91 -1.54 -0.7
804353359996912768 -0.91 -1.61 -0.7
804353360016143616 -0.91 -1.61 -0.7
804353360035374336 -0.84000003 -1.54 -0.7
804353360054605056 -0.84000003 -1.54 -0.7
804353360073835904 -0.91 -1.61 -0.63
804353360093066624 -0.91 -1.54 -0.7
804353360112297344 -0.91 -1.54 -0.7
804353360131528192 -0.91 -1.54 -0.7
804353360150758912 -0.84000003 -1.54 -0.7
804353360169989760 -0.91 -1.54 -0.7
804353360189220480 -0.91 -1.54 -0.7
804353360208451200 -0.91 -1.54 -0.7
804353360227682048 -0.84000003 -1.54 -0.7
804353360246912768 -0.84000003 -1.54 -0.7
804353360266143616 -0.91 -1.54 -0.7
804353360285374336 -0.84000003 -1.54 -0.7
804353360304605056 -0.84000003 -1.61 -0.7
804353360323835904 -0.84000003 -1.54 -0.7
804353360343066624 -0.84000003 -1.54 -0.7
804353360362297344 -0.91 -1.61 -0.7
804353360381528192 -0.91 -1.61 -0.63
804353360400758912 -0.91 -1.61 -0.63
804353360419989760 -0.84000003 -1.61 -0.7
804353360439220480 -0.91 -1.61 -0.7
804353360458451200 -0.91 -1.54 -0.7
804353360477682048 -0.84000003 -1.54 -0.63
804353360496912768 -0.84000003 -1.61 -0.63
804353360516143616 -0.84000003 -1.61 -0.7
804353360535374336 -0.84000003 -1.61 -0.7
804353360554605056 -0.84000003 -1.54 -0.7
804353360573835904 -0.91 -1.61 -0.63
804353360593066624 -0.84000003 -1.61 -0.7
804353360612297344 -0.84000003 -1.61 -0.7
804353360631528192 -0.84000003 -1.61 -0.7
804353360650758912 -0.91 -1.61 -0.7
804353360669989760 -0.91 -1.61 -0.7
804353360689220480 -0.91 -1.61 -0.63
804353360708451200 -0.91 -1.54 -0.7
804353360727682048 -0.84000003 -1.47 -0.77
804353360746912768 -0.84000003 -1.54 -0.7
804353360766143616 -0.91 -1.54 -0.7
804353360785374336 -0.91 -1.61 -0.7
804353360804605056 -0.91 -1.54 -0.7
804353360823835904 -0.84000003 -1.54 -0.7
804353360843066624 -0.84000003 -1.54 -0.7
804353360862297344 -0.91 -1.61 -0.7
804353360881528192 -0.91 -1.54 -0.7
804353360900758912 -0.91 -1.54 -0.7
804353360919989760 -0.84000003 -1.54 -0.7
804353360939220480 -0.91 -1.54 -0.7
804353360958451200 -0.91 -1.54 -0.7
804353360977682048 -0.91 -1.54 -0.7
804353360996912768 -0.91 -1.54 -0.7
804353361016143616 -0.91 -1.54 -0.7
804353361035374336 -0.84000003 -1.54 -0.7
804353361054605056 -0.91 -1.54 -0.7
804353361073835904 -0.84000003 -1.61 -0.7
804353361093066624 -0.84000003 -1.54 -0.7
804353361112297344 -0.91 -1.54 -0.7
804353361131528192 -0.91 -1.54 -0.7
804353361150758912 -0.91 -1.54 -0.7
804353361169989760 -0.84000003 -1.54 -0.7
804353361189220480 -0.84000003 -1.54 -0.7
804353361208451200 -0.84000003 -1.54 -0.7
804353361227682048 -0.91 -1.54 -0.7
804353361246912768 -0.84000003 -1.54 -0.7
804353361266143616 -0.84000003 -1.61 -0.7
804353361285374336 -0.84000003 -1.54 -0.7
804353361304605056 -0.91 -1.54 -0.7
804353361323835904 -0.91 -1.54 -0.7
804353361343066624 -0.91 -1.54 -0.7
804353361362297344 -0.91 -1.61 -0.7
804353361381528192 -0.91 -1.54 -0.7
804353361400758912 -0.91 -1.61 -0.7
804353361419989760 -0.91 -1.61 -0.7
804353361439220480 -0.91 -1.61 -0.7
804353361458451200 -0.91 -1.54 -0.7
804353361477682048 -0.84000003 -1.47 -0.7
