TIMESTAMP X(Gauss) Y(Gauss) Z(Gauss)
804353363090357376 -1.1115 -0.597 -0.45000002
804353363110357376 -1.119 -0.5865 -0.44550002
804353363130357376 -1.1025 -0.585 -0.4515
804353363150357376 -1.095 -0.591 -0.4485
804353363170357376 -1.0965 -0.59250003 -0.45000002
804353363190357376 -1.1025 -0.59250003 -0.4545
804353363210357376 -1.119 -0.5955 -0.447
804353363230357376 -1.116 -0.5985 -0.441
804353363250357376 -1.0815 -0.6 -0.447
804353363270357376 -1.0845 -0.6 -0.45000002
804353363290357376 -1.1145 -0.5955 -0.4485
804353363310357376 -1.1235 -0.59250003 -0.4485
804353363330357376 -1.122 -0.5895 -0.444
804353363350357376 -1.1115 -0.591 -0.447
804353363370357376 -1.101 -0.591 -0.4515
804353363390357376 -1.1085 -0.59250003 -0.4485
804353363410357376 -1.1235 -0.597 -0.447
804353363430357376 -1.11 -0.5955 -0.4515
804353363450357376 -1.1025 -0.5955 -0.45000002
804353363470357376 -1.1115 -0.597 -0.447
804353363490357376 -1.1145 -0.5985 -0.44550002
804353363510357376 -1.1205 -0.597 -0.4425
804353363530357376 -1.116 -0.59250003 -0.444
804353363550357376 -1.1115 -0.59250003 -0.4485
804353363570357376 -1.1205 -0.5955 -0.45000002
804353363590357376 -1.122 -0.5955 -0.4515
804353363610357376 -1.1115 -0.597 -0.453
804353363630357376 -1.1175001 -0.594 -0.45000002
804353363650357376 -1.1265 -0.5865 -0.45000002
804353363670357376 -1.113 -0.5775 -0.4545
804353363690357376 -1.086 -0.5835 -0.444
804353363710357376 -1.1055 -0.5955 -0.44550002
804353363730357376 -1.1205 -0.59250003 -0.4485
804353363750357376 -1.101 -0.594 -0.4515
804353363770357376 -1.11 -0.597 -0.4515
804353363790357376 -1.1205 -0.59250003 -0.4485
804353363810357376 -1.098 -0.59250003 -0.45000002
804353363830357376 -1.107 -0.5985 -0.4515
804353363850357376 -1.1235 -0.597 -0.44550002
804353363870357376 -1.0905 -0.579 -0.4485
804353363890357376 -1.089 -0.5835 -0.4515
804353363910357376 -1.1175001 -0.5955 -0.447
804353363930357376 -1.098 -0.59250003 -0.4545
804353363950357376 -1.1085 -0.5955 -0.45000002
804353363970357376 -1.1355 -0.597 -0.444
804353363990357376 -1.1325 -0.597 -0.444
804353364010357376 -1.137 -0.6045 -0.444
804353364030357376 -1.1355 -0.60150003 -0.444
804353364050357376 -1.1340001 -0.5955 -0.44550002
804353364070357376 -1.1355 -0.597 -0.44550002
804353364090357376 -1.128 -0.591 -0.444
804353364110357376 -1.128 -0.591 -0.44550002
804353364130357376 -1.1295 -0.594 -0.44550002
804353364150357376 -1.1235 -0.597 -0.4425
804353364170357376 -1.1265 -0.6 -0.444
804353364190357376 -1.1325 -0.597 -0.444
804353364210357376 -1.131 -0.597 -0.444
804353364230357376 -1.1325 -0.597 -0.444
804353364250357376 -1.131 -0.59250003 -0.4425
804353364270357376 -1.131 -0.59250003 -0.44550002
804353364290357376 -1.1295 -0.5955 -0.4485
804353364310357376 -1.1265 -0.5955 -0.44550002
804353364330357376 -1.1325 -0.594 -0.4425
804353364350357376 -1.1325 -0.5955 -0.444
804353364370357376 -1.1295 -0.594 -0.44550002
804353364390357376 -1.1325 -0.594 -0.444
804353364410357376 -1.1355 -0.5955 -0.4425
804353364430357376 -1.1265 -0.5985 -0.441
804353364450357376 -1.1235 -0.60150003 -0.444
804353364470357376 -1.1340001 -0.5985 -0.444
804353364490357376 -1.14 -0.5985 -0.444
804353364510357376 -1.1355 -0.5985 -0.444
804353364530357376 -1.131 -0.5955 -0.441
804353364550357376 -1.131 -0.591 -0.438
804353364570357376 -1.131 -0.594 -0.4395
804353364590357376 -1.1340001 -0.6045 -0.4425
804353364610357376 -1.1235 -0.6 -0.444
804353364630357376 -1.122 -0.597 -0.44550002
804353364650357376 -1.128 -0.5955 -0.44550002
804353364670357376 -1.131 -0.597 -0.4425
804353364690357376 -1.1325 -0.597 -0.444
804353364710357376 -1.128 -0.597 -0.44550002
804353364730357376 -1.125 -0.6 -0.447
804353364750357376 -1.1175001 -0.6 -0.44550002
804353364770357376 -1.1205 -0.5985 -0.4425
804353364790357376 -1.128 -0.5985 -0.4425
804353364810357376 -1.131 -0.60150003 -0.4395
804353364830357376 -1.1325 -0.594 -0.4425
804353364850357376 -1.1295 -0.591 -0.4485
804353364870357376 -1.128 -0.5985 -0.45000002
804353364890357376 -1.1295 -0.6 -0.4485
804353364910357376 -1.131 -0.6 -0.44550002
804353364930357376 -1.131 -0.60150003 -0.44550002
804353364950357376 -1.1295 -0.6 -0.447
804353364970357376 -1.1295 -0.5985 -0.44550002
804353364990357376 -1.1325 -0.60150003 -0.447
804353365010357376 -1.1175001 -0.5835 -0.4425
804353365030357376 -1.116 -0.582 -0.4425
804353365050357376 -1.131 -0.59250003 -0.44550002
804353365070357376 -1.122 -0.591 -0.4425
804353365090357376 -1.1205 -0.5955 -0.444
804353365110357376 -1.1295 -0.5955 -0.44550002
804353365130357376 -1.1295 -0.6 -0.4425
804353365150357376 -1.1325 -0.5985 -0.4425
804353365170357376 -1.1340001 -0.594 -0.44550002
804353365190357376 -1.131 -0.5985 -0.444
804353365210357376 -1.1340001 -0.594 -0.441
804353365230357376 -1.1355 -0.594 -0.441
804353365250357376 -1.131 -0.597 -0.4425
804353365270357376 -1.131 -0.6 -0.447
804353365290357376 -1.1325 -0.5985 -0.44550002
804353365310357376 -1.131 -0.59250003 -0.4425
804353365330357376 -1.131 -0.594 -0.441
804353365350357376 -1.1325 -0.594 -0.4425
804353365370357376 -1.131 -0.59250003 -0.4425
804353365390357376 -1.1325 -0.597 -0.447
804353365410357376 -1.1340001 -0.5985 -0.4485
804353365430357376 -1.1340001 -0.5955 -0.444
804353365450357376 -1.1355 -0.597 -0.4425
804353365470357376 -1.1355 -0.594 -0.44550002
804353365490357376 -1.1355 -0.5895 -0.447
804353365510357376 -1.137 -0.594 -0.444
804353365530357376 -1.1355 -0.5985 -0.447
804353365550357376 -1.131 -0.6 -0.44550002
804353365570357376 -1.131 -0.5985 -0.44550002
804353365590357376 -1.1340001 -0.5985 -0.45000002
804353365610357376 -1.1355 -0.597 -0.447
804353365630357376 -1.131 -0.594 -0.44550002
804353365650357376 -1.1325 -0.597 -0.44550002
804353365670357376 -1.1340001 -0.5955 -0.4395
804353365690357376 -1.137 -0.5985 -0.441
804353365710357376 -1.1385 -0.597 -0.44550002
804353365730357376 -1.1340001 -0.5985 -0.447
804353365750357376 -1.1340001 -0.6 -0.44550002
804353365770357376 -1.1325 -0.5955 -0.444
804353365790357376 -1.137 -0.60150003 -0.444
804353365810357376 -1.1340001 -0.60150003 -0.44550002
804353365830357376 -1.131 -0.597 -0.444
804353365850357376 -1.1340001 -0.594 -0.441
804353365870357430 -1.1325 -0.5895 -0.441
804353365890578560 -1.1295 -0.5955 -0.447
804353365910799744 -1.1295 -0.597 -0.44550002
804353365931021056 -1.1115 -0.5805 -0.4425
804353365951242240 -1.1145 -0.5865 -0.447
804353365971463424 -1.122 -0.594 -0.4485
804353365991684736 -1.095 -0.591 -0.4515
804353366011905920 -1.0995001 -0.591 -0.4515
804353366032127104 -1.104 -0.5775 -0.45000002
